sim_seed,total_trades,mean_cum_return_pct,daily_equity_sharpe,trade_level_sharpe
325,233,26.506940428508962,0.26442882175044946,0.4089920141170829
326,237,21.991360697034946,0.300204372004965,0.5302891900522871
327,242,37.63995966673621,0.5373849726446719,0.7292130754347532
328,234,45.02891613559795,0.5141936366259477,0.6064879545131362
329,237,58.2280535366286,0.6780356255218963,0.9654192339458977
330,245,33.30104699771748,0.3958577349349035,0.541034172518168
331,245,27.780035516319593,0.3991720519587859,0.5076759157559295
332,240,52.3625985405359,0.6375371793241815,1.0068801126820266
333,254,58.165986290544346,0.6725695339873823,0.866522940277737
334,251,33.46752770891269,0.4507372966407668,0.5743427240907045
335,256,15.274127549520676,0.30108961693524383,0.3958002335261678
336,243,22.18435201691716,0.39749239676580206,0.4763048695612878
337,239,52.99611294720246,0.49704824027142963,0.730654933574528
338,252,34.97009771607769,0.48379209654970656,0.6639244858292158
339,253,31.487738118901632,0.48294649457787103,0.6501025347936713
340,240,41.509769304223894,0.561652816874197,0.7820773955432037
341,237,47.84319675571804,0.6339860761158478,0.9060695188086946
342,241,31.16229150047807,0.4210010246790148,0.5001015974389313
343,251,24.89712838999764,0.4220962187653516,0.581643809477907
344,246,31.51077068361667,0.27098127899737706,0.4118201220112946
345,243,50.11196581458465,0.5668647155746722,0.8159844110819785
346,251,33.0402919402877,0.44292946838363473,0.6200027864371537
347,249,87.9409624456636,0.5892875101235233,0.7542179901790999
348,252,50.602700559069945,0.43137569613380566,0.4760310682316625
349,251,68.60431252738377,0.7417497168075669,1.0126067333741737
350,244,36.29680320087893,0.5033899056111519,0.6786210371013675
351,236,44.44245193155064,0.5976414817585038,0.781060240416248
352,259,75.20031171639062,0.8107745487244596,1.147521486508447
353,235,64.52280246178277,0.7278989000569688,1.0356104075286983
354,244,54.877486158594024,0.5822127602040397,0.7857356762539565
355,247,60.84960001637104,0.7647698998008441,1.1292138312385585
356,246,58.25324912641929,0.6302164703302516,0.874646588353707
357,253,39.30781129732021,0.4009320192567043,0.5214781248039736
358,240,38.899363732476125,0.5242654668124169,0.6749992553009359
359,245,56.73949168672516,0.511013032695175,0.705320752157737
360,251,52.100040977341976,0.6126617071439304,0.79471307337385
361,256,44.043687119940195,0.5814073732997785,0.7588952453653702
362,250,36.82284422167777,0.5627882728937703,0.7192131256597304
363,246,32.34272337167896,0.4405932956497775,0.5970584698288051
364,233,29.670457896987507,0.4339507309543983,0.6198961459547403
365,243,39.38234439717047,0.34232874828054044,0.4442014893140966
366,247,47.11400332971782,0.45574331238889404,0.6311826575240601
367,238,40.10141570622038,0.4104186750028004,0.6027437965148601
368,227,50.65765340673925,0.5783018276054279,0.842452019632085
369,252,43.59467944805103,0.5653080291493474,0.8073647160685831
370,247,80.87932057897373,0.775372776701929,1.1339914236612902
371,240,57.56919756884564,0.7444375917923527,0.9611183504949874
372,234,43.5071008792758,0.5264563732207946,0.7076636259318994
373,239,40.69329936480304,0.4961306687385945,0.6998301761348575
374,257,60.54262528040088,0.52330225036412,0.6990611894414863
375,240,28.107387557700342,0.37625702461869653,0.5173957764676556
376,242,31.341134219070927,0.4646762627454984,0.666114094949166
377,239,19.65667713913173,0.22213345695019604,0.24916942645939932
378,256,76.67464518310483,0.8064612828374322,1.0996898643400612
379,228,59.584518051558575,0.6872134294990688,0.8633473336035952
380,244,54.037362542551044,0.7013122597519922,0.9714248180110825
381,242,18.929052378947766,0.3337327516425118,0.4250076180315553
382,249,12.641521583902508,0.25317862952211656,0.31383129431325496
383,232,50.05629591191493,0.49405762662447844,0.6730668366513554
384,248,41.231500292921325,0.4692627577027569,0.6386083816390384
385,228,21.915496217999785,0.3191024669311705,0.4456207278821179
386,237,23.621214480829813,0.4156323703143445,0.563490999065043
387,244,40.34596241019658,0.524549379185456,0.7926852962142934
388,249,51.89615409506312,0.5628447769906542,0.7743364231884601
389,237,50.44304221301059,0.6117900632896801,0.8308554575549991
390,236,24.72312613751191,0.3765666778298383,0.5173116310823009
391,239,48.95413259850797,0.45828747468207176,0.7330646090530767
392,244,54.50347790063356,0.5747874637639593,0.6848884952126661
393,245,61.12993106739907,0.5685979701439827,0.8029008138353125
394,232,42.75832012499255,0.5242369707435884,0.7115307235465949
395,242,32.261032984842565,0.4520660120081946,0.5973823343842378
396,241,57.313752150957804,0.5048449767373271,0.7094499054517251
397,242,61.87926541154879,0.5968705840781612,0.8306762594859094
398,227,44.95551060446093,0.5713110194059883,0.8585098059505502
399,244,23.18120203338327,0.2889446920389561,0.37913702869466825
400,249,23.64317456695614,0.2603974645625278,0.3615965815966674
401,242,32.14236778046182,0.4076224168282455,0.525212336759392
402,239,38.04672940138971,0.5246889166677013,0.6617686950555679
403,238,33.56441828405973,0.4475747762324298,0.5646927363800194
404,237,52.23309543095083,0.646239155377468,0.8813766093298099
405,263,17.005071607964716,0.24377758565392044,0.30788969885026995
406,257,76.13742640069081,0.601205862206873,0.7825648226418289
407,237,11.81570870918026,0.1994888153325179,0.23251572380178645
408,232,46.82018554499879,0.6204889045112086,0.8188453085129634
409,244,53.63030155758546,0.5991450197292527,0.8708340539459443
410,241,34.824783063115895,0.4329410791495868,0.5733443651319999
411,260,28.156282448418274,0.4368132674725368,0.508276030308593
412,238,42.48130189211889,0.5722957551794652,0.8323966877621267
413,249,35.17952753113992,0.4627305937818066,0.587373506405562
414,247,27.62900497947225,0.3821519666700982,0.5241608358163571
415,246,56.6855020268271,0.6675260827518721,0.8918120609246648
416,231,24.501377671443556,0.3859547031859062,0.4621020948842441
417,243,75.60933652857788,0.8146833492162683,1.0838971298258433
418,250,17.834704642347294,0.33554067944382393,0.42845229208724706
419,246,32.20281243076383,0.5241536294226459,0.6821582666333497
420,242,40.841612409318444,0.5281027624122948,0.7426376498633867
421,249,60.671438237850325,0.6705252955815171,0.8822220883744499
422,239,38.37860501297658,0.4908280906206993,0.6824728803520965
423,238,24.637509176983052,0.38215497709810564,0.5474277775959064
424,232,28.80511295955089,0.4577235577740927,0.5862505728477652
425,246,43.85338740844734,0.5538556011372523,0.7068645963283672
426,251,56.005669181113184,0.6510292301039855,0.9026056225023475
427,254,42.64930519182117,0.5413051124998425,0.726028294635535
428,246,32.79888522214295,0.41502250458197854,0.4974835942560126
429,234,27.793878830185427,0.2464141989754479,0.33877547271062397
430,249,32.64708825072968,0.470693358862633,0.7135671107915778
431,240,25.582925963877678,0.4469560238824403,0.596322444832235
432,249,49.78514067110335,0.648911047853501,0.8286481634814361
433,242,52.10101235034104,0.4320315243835341,0.5379758886390695
434,254,11.777459054395594,0.27524466317057994,0.33398497574047836
435,246,10.65050767365974,0.19692830707165263,0.3220717737239217
436,238,30.48480422554696,0.33111514903090095,0.44655628531846076
437,232,33.289537598075654,0.5004233380484578,0.693249422214662
438,252,47.18780845805259,0.5262634897120604,0.6709023407340159
439,236,69.39072111101986,0.8436297920988206,1.226514244189799
