candidate_id,asset,target_name,model,fold,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,buy_signals_count,sell_signals_count,mean_realized_ret_buy,mean_realized_ret_sell,return_spread,cum_strategy_return,max_drawdown,sharpe_ratio,training_time,prediction_time
Candidate_C,tcs_ns,TARGET_D,random_forest,1,520,843,0.6346153846153846,0.5224114595082338,0.537577424676761,-0.004849676519314767,0.6715210355987055,0.5213567839195979,0.9431818181818182,0.5183867141162515,0.9442467378410438,796,47,0.0009614255469331563,-0.010642062325682846,0.011603487872616003,-0.6592491929816768,0.999838250179317,0.22085007492260278,0.45653440000023693,0.08229749999009073
Candidate_C,tcs_ns,TARGET_D,random_forest,2,1363,842,0.5649303008070433,0.5762745981673427,0.6972202141771362,0.11379520847405002,0.44152431011826543,0.711864406779661,0.32,0.49524940617577196,0.28028503562945367,236,606,0.0338185008818454,0.012327035181608999,0.021491465700236398,1761.2983100661356,0.28013401386722586,4.3290960235438884,0.48918239993508905,0.09611540008336306
Candidate_C,tcs_ns,TARGET_D,random_forest,3,2205,842,0.5873015873015873,0.5940874475913408,0.6496964877986073,0.1277414769370029,0.5543608124253285,0.6236559139784946,0.4989247311827957,0.5570071258907363,0.4418052256532066,372,470,0.015177134227845356,0.0023674670756748174,0.012809667152170539,196.1596927449012,0.5083502582088097,3.657013595792231,0.5887618999695405,0.09262919996399432
Candidate_C,tcs_ns,TARGET_D,random_forest,4,3047,844,0.5776173285198556,0.5510894665843563,0.5973711416223537,0.08892555060619362,0.5326991676575505,0.6170798898071626,0.4686192468619247,0.5343601895734598,0.43009478672985785,363,481,0.013981967816496296,0.0047560605078970876,0.009225907308599207,110.29352812908016,0.671343593425445,3.2759834762528803,0.7630607000319287,0.11423720000311732
Candidate_C,tcs_ns,TARGET_D,random_forest,5,3891,844,0.5751734772552043,0.5596714126757045,0.5963629000744368,0.07222792248150298,0.5268176400476758,0.5924932975871313,0.4742489270386266,0.5296208530805687,0.4419431279620853,373,471,0.007166348832298067,0.0049087444344629695,0.002257604397835097,7.91995645446076,0.8550002921176338,1.5028223969395709,0.9030005000531673,0.15089990000706166
Candidate_D,tcs_ns,TARGET_D,xgboost,1,520,843,0.6346153846153846,0.4814177757726144,0.5093127408358337,-0.03592091819901643,0.656172328086164,0.516297262059974,0.9,0.5077105575326216,0.9098457888493475,767,76,8.62397690866235e-05,0.00261805135739815,-0.0025318115883115264,-0.8305372561785722,0.9998798108407293,0.019128236804954225,0.42169480002485216,0.005273099988698959
Candidate_D,tcs_ns,TARGET_D,xgboost,2,1363,842,0.5649303008070433,0.610797656602073,0.7079539409003985,0.15527534383865915,0.42090784044016505,0.7574257425742574,0.2914285714285714,0.5,0.23990498812351543,202,640,0.03708164094819764,0.012438840713491633,0.024642800234706004,1183.186128895841,0.25523177483822035,4.5075125178537805,0.4333679999690503,0.0050116999773308635
Candidate_D,tcs_ns,TARGET_D,xgboost,3,2205,842,0.5873015873015873,0.590142893813639,0.6507493110535896,0.1391229996372855,0.5052356020942408,0.6454849498327759,0.4150537634408602,0.5510688836104513,0.35510688836104515,299,543,0.014499113617987917,0.004462925389589777,0.01003618822839814,58.14175951980384,0.44668969088209853,3.324453913660635,0.3811506999190897,0.004997999989427626
Candidate_D,tcs_ns,TARGET_D,xgboost,4,3047,844,0.5776173285198556,0.5642533781466492,0.6156638990298111,0.0689338501314856,0.5138721351025332,0.6068376068376068,0.4456066945606695,0.5225118483412322,0.4158767772511848,351,493,0.012350383016892832,0.0061422616283108925,0.00620812138858194,51.91807577185864,0.7246060171410761,2.779662316664271,0.36698659998364747,0.004653399926610291
Candidate_D,tcs_ns,TARGET_D,xgboost,5,3891,844,0.5751734772552043,0.5903501600926494,0.6286542199947043,0.14482321556407815,0.5338345864661654,0.641566265060241,0.4570815450643777,0.5592417061611374,0.3933649289099526,332,512,0.012448324433545856,0.0016644981076992457,0.01078382632584661,39.02795258722895,0.8470637951755183,2.441310625755975,0.372177799930796,0.0051951000932604074
