strategy,fold,trade_id,allocated_cash,position_weight,net_return_pct,net_pnl,is_win
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,48,27575.961806583644,0.25,-5.5425707945862,-1528.41720541795,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,49,27193.857505229156,0.25,1.2907377739754784,351.0013910210584,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,50,27281.60785298442,0.25,9.444859667697216,2576.7095768058416,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,51,27925.78524718588,0.25,10.694966688913372,2986.6534298040146,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,52,28672.448604636884,0.25,-1.5056933196806463,-431.71914322888426,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,53,28564.518818829663,0.25,1.0790431515622294,308.22348409128574,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,54,28641.574689852485,0.25,0.9915708812260537,284.00151454918864,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,55,28712.575068489783,0.25,3.882537900056148,1114.7766091161884,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,56,28991.26922076883,0.25,6.454258578560196,1871.1714807149538,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,57,29459.06209094757,0.25,-0.43699619407628776,-128.73498014801135,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,58,29426.878345910565,0.25,2.4363665908862537,716.9466327605064,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,59,29606.11500410069,0.25,3.714353346123636,1099.6757233120259,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,60,50066.40872428862,0.4188811608169014,-1.208012843694424,-604.8086477659522,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,61,29729.831772987214,0.25,6.86188137122022,2040.0257881257196,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,62,30239.838220018646,0.25,-10.88283804419308,-3290.9526183106286,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,63,31171.352206467927,0.26490843877476405,0.22878747434856342,71.31614943347317,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,64,29434.929102799357,0.25,-2.6365297372929577,-776.0606589464043,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,65,29940.899658116505,0.2559846429692352,4.972842680895996,1488.9138372430607,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,66,29613.142397373515,0.25,0.4996834263136275,147.97196457032948,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,67,29650.1353885161,0.25,-4.683487828409408,-1388.660482028062,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,68,29302.970268009085,0.25,-1.9375551346834288,-567.7612050425686,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,69,29161.029966748443,0.25,6.048142104009027,1763.700531381602,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,70,29601.955099593844,0.25,3.3689823507045142,997.2846427687915,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,71,29851.276260286042,0.25,-1.7882114428426212,-533.8039379209979,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,72,29717.825275805793,0.25,1.2717863112528653,377.94723385974214,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,73,29812.31208427073,0.25,2.6903647734584335,802.0599424687115,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,74,30012.827069887906,0.25,7.18731701269313,2157.1170259842224,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,75,30552.10632638396,0.25,-1.812640655689347,-553.7999004414727,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,76,30413.656351273592,0.25,4.719919344869599,1435.5000496059236,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,77,30772.531363675072,0.25,2.2945392216065033,706.0878016206871,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,78,30949.053314080244,0.25,-0.5286080673433902,-163.59919258463503,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,79,30908.153515934086,0.25,-5.47526010281696,-1692.3017979753563,0
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,80,30485.07806644025,0.25,4.073408960713337,1241.7819016388332,1
Candidate 3: Risk-Normalized Sizing (Isotonic Calibrated),4,81,30795.523541849958,0.25,-1.2617288393098183,-388.55600174396534,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,1,50000.0,0.5,6.9262196908920455,3463.1098454460225,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,2,51731.55492272301,0.5,8.06385914890808,4171.559724508407,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,3,107634.66956995442,1.0,-0.12180291110784124,-131.10216089751023,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,4,107503.56740905691,1.0,-1.7512849465782816,-1882.6937930694492,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,5,105620.87361598745,1.0,3.612834431067935,3815.907288393143,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,6,109436.78090438059,1.0,-0.13109675490159667,-143.46806843441317,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,7,109293.31283594617,1.0,-1.4433196931053218,-1577.4519074084176,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,8,107715.86092853775,1.0,-2.894218340697153,-3117.532202833578,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,9,52299.16436285208,0.5,0.6583603316387495,344.3169519435677,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,10,52471.322838823864,0.5,3.756328614320142,1970.9953141070407,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,11,53456.820495877386,0.5,3.357449744827956,1794.785883331974,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,12,108708.42687508675,1.0,-6.918148561904546,-7520.61047052787,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,13,50593.90820227944,0.5,-6.663852973184127,-3371.503655987646,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,14,48908.156374285616,0.5,-0.0896431605441933,-43.842817137805966,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,15,48886.234965716714,0.5,-0.7876167847518248,-385.03619202320033,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,16,48693.71686970511,0.5,-3.2553794520673613,-1585.1652534242385,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,17,47901.134242992994,0.5,-8.47075633229398,-4057.58836212897,0
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,18,45872.34006192851,0.5,4.448173994561378,2040.4815013314646,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,19,46892.58081259424,0.5,2.633712996519608,1235.0159952647546,1
Candidate 4: Causal Regime-Aware Adaptive Sizing,4,20,47510.08881022662,0.5,3.52811862882944,1676.2122938870166,1
