asset,config_id,model,total_folds,mean_roc_auc,mean_pr_auc,mean_mcc,mean_f1,mean_ppr,mean_return_spread_pct,net_spread_10bps_pct
icicibank_ns,C7,xgboost,5,0.5304665977098038,0.5667291264900113,0.042882747045298306,0.4651895947467164,0.3863670324278514,0.9106042551563377,0.8106042551563377
icicibank_ns,C8,logistic_regression,5,0.5408027869298369,0.5854301575891377,0.02574299852512475,0.40764685747594126,0.3638833132610732,1.2785634276398816,1.1785634276398818
icicibank_ns,C8,random_forest,5,0.5106039745068283,0.556902887731866,0.0039379072422000075,0.48494004758144554,0.4452780008028904,0.05422875332293048,-0.04577124667706959
icicibank_ns,C8,xgboost,5,0.5320512556004662,0.5665998060289013,0.015612529478573367,0.5049555227441578,0.47169365270529456,0.08096762020585897,-0.019032379794141074
infy_ns,C0,logistic_regression,5,0.5112294159162963,0.5967758676446119,0.015334859769385978,0.5625299733523083,0.6640277120462119,0.7036220375568818,0.6036220375568819
infy_ns,C0,random_forest,5,0.5043517580114091,0.5975826271641415,0.015026720776806678,0.5364135465872886,0.5611522629042718,0.14983027285046588,0.049830272850465866
infy_ns,C0,xgboost,5,0.5117887675155519,0.6093827628943506,0.02334701401315913,0.5137931294181142,0.5243867899587371,0.42368907252082727,0.3236890725208272
infy_ns,C5,logistic_regression,5,0.5256119517138531,0.6032578006639875,-0.0009499752655483279,0.4740559754433904,0.548295629369718,2.6687725794032566,2.5687725794032565
infy_ns,C5,random_forest,5,0.5249978382948222,0.6023577957810364,0.025332928408707843,0.49894427038871136,0.5097372783361593,0.3161097738895729,0.21610977388957286
infy_ns,C5,xgboost,5,0.5331184500007454,0.6075328259589119,0.017517385914183625,0.5107744473385256,0.5224296418012063,0.060009908200591246,-0.03999009179940878
infy_ns,C57,logistic_regression,5,0.5240216590234537,0.6018101228887192,-0.002966904348089902,0.47227383076848517,0.5453082777341669,2.5606903956458917,2.460690395645892
infy_ns,C57,random_forest,5,0.5229140623354268,0.6029616790291314,0.032970583379779164,0.4966001961933736,0.5075800332593005,0.6367144541245717,0.5367144541245717
infy_ns,C57,xgboost,5,0.5264205071608591,0.608858403676643,0.00613795753335249,0.5044558554447623,0.5207387543475943,0.05960319635960179,-0.040396803640398264
infy_ns,C7,logistic_regression,5,0.5140576315016883,0.6002967707403585,0.03601607557776836,0.5819077689646159,0.667345299322885,0.8370197592145615,0.7370197592145614
infy_ns,C7,random_forest,5,0.5158472470965754,0.6064748640640822,0.030324012863700307,0.5374208272785979,0.5602140115420406,0.40013255045854385,0.3001325504585439
infy_ns,C7,xgboost,5,0.5166191768207324,0.609012500842951,0.025073026548964827,0.5189270466938363,0.5313432348285547,0.2679594357766166,0.16795943577661657
infy_ns,C8,logistic_regression,5,0.514199274858866,0.5986268259844801,-0.006604199167720473,0.4695149229849937,0.5331559334952665,1.7258526911892316,1.6258526911892315
infy_ns,C8,random_forest,5,0.539604950018397,0.612251387139803,0.050256520349166625,0.5400530834900101,0.5239197859806967,0.48151971934103593,0.38151971934103585
infy_ns,C8,xgboost,5,0.5334386613372575,0.6134909622881286,0.0255254195367411,0.5350055112900571,0.5143565731985698,0.1796584060866376,0.0796584060866376
reliance_ns,C0,logistic_regression,5,0.5099903542257007,0.564281079341402,0.015885884848212805,0.5099530920592523,0.6282206641082041,-0.4812082964326241,-0.581208296432624
reliance_ns,C0,random_forest,5,0.5338744176573695,0.5973246437925644,0.05473351327368377,0.5287266834383334,0.4861314286570216,0.3369147224278402,0.23691472242784026
reliance_ns,C0,xgboost,5,0.5441584848262987,0.6058141878998086,0.05856154956265021,0.5008302415647254,0.44757096696145215,0.5205589166170409,0.4205589166170409
reliance_ns,C5,logistic_regression,5,0.5071535701833078,0.5565811759726235,0.013626246891528155,0.4688776548775532,0.44885266638938043,-0.13204166814538043,-0.23204166814538044
reliance_ns,C5,random_forest,5,0.5383258782478602,0.590775484402166,0.05616420163089161,0.5375625846710184,0.49500807422731696,1.231930670114177,1.131930670114177
reliance_ns,C5,xgboost,5,0.5475456473519349,0.6019745840261128,0.062430984240026,0.4980338089595481,0.45540944315165116,1.2258528508082334,1.1258528508082333
reliance_ns,C57,logistic_regression,5,0.5056331017997651,0.5567905386967688,0.0066993348142488,0.46549923850061975,0.45541276329073455,-0.1852618588559888,-0.2852618588559888
reliance_ns,C57,random_forest,5,0.5497225791629732,0.6012822066052913,0.06137021585907522,0.5482182151317987,0.5082090961638489,1.2097512873734242,1.1097512873734243
reliance_ns,C57,xgboost,5,0.5471930257588676,0.6002925396480091,0.05263152879739715,0.5205920390688294,0.49455766028751363,1.095195655526587,0.995195655526587
reliance_ns,C7,logistic_regression,5,0.508889421569892,0.567279951284412,0.04077963218206822,0.5109708398317148,0.6032932042477416,0.33275217621226333,0.23275217621226327
reliance_ns,C7,random_forest,5,0.5396274084118368,0.5924324792726348,0.0541271254561266,0.5272002247868899,0.487052202506713,0.5548633091158482,0.4548633091158483
reliance_ns,C7,xgboost,5,0.5510252585371946,0.6030669419955548,0.07040932995360191,0.49729360820757273,0.44605172577585855,0.8831915714000907,0.7831915714000909
reliance_ns,C8,logistic_regression,5,0.5082222496728084,0.5633767762961019,0.04337967928013901,0.49529976328545977,0.5230984147085018,-0.16367106825008648,-0.26367106825008646
reliance_ns,C8,random_forest,5,0.5380099208100605,0.5908522925121676,0.038869309320924694,0.5474038431711892,0.5188123761458331,0.3063696403202501,0.20636964032025004
reliance_ns,C8,xgboost,5,0.5205096692643145,0.5839540509019268,0.022292002090640608,0.5088313819506305,0.48308977351361504,0.3478223972430184,0.24782239724301844
