asset,model,fold,train_samples,validation_samples,fixed_threshold,dynamic_threshold,fixed_accuracy,dynamic_accuracy,fixed_precision,dynamic_precision,fixed_recall,dynamic_recall,fixed_f1,dynamic_f1,roc_auc,delta_recall,delta_f1,fixed_recall_below_35,dynamic_recall_below_35,fallback_used
hdfcbank_ns,xgboost,3,2746,938,0.5,0.21,0.5287846481876333,0.5063965884861408,0.5345622119815668,0.504885993485342,0.4915254237288136,0.9851694915254238,0.5121412803532008,0.6676238334529792,0.543568596784753,0.4936440677966102,0.15548255309977832,False,False,False
hdfcbank_ns,logistic_regression,4,3684,940,0.5,0.2,0.526595744680851,0.526595744680851,0.5565610859728507,0.526595744680851,0.49696969696969695,1.0,0.5250800426894343,0.6898954703832753,0.5351265463625015,0.503030303030303,0.16481542769384094,False,False,False
hdfcbank_ns,random_forest,4,3684,940,0.5,0.2,0.5382978723404256,0.526595744680851,0.567032967032967,0.526595744680851,0.5212121212121212,1.0,0.5431578947368421,0.6898954703832753,0.5560276926569061,0.47878787878787876,0.1467375756464332,False,False,False
hdfcbank_ns,xgboost,4,3684,940,0.5,0.2,0.5170212765957447,0.5255319148936171,0.5508684863523573,0.5262032085561498,0.4484848484848485,0.9939393939393939,0.49443207126948774,0.6881118881118881,0.5493678356599705,0.5454545454545454,0.19367981684240032,False,False,False
hdfcbank_ns,logistic_regression,5,4624,940,0.5,0.2,0.5404255319148936,0.5106382978723404,0.5436363636363636,0.5106382978723404,0.6229166666666667,1.0,0.5805825242718446,0.676056338028169,0.5318976449275362,0.3770833333333333,0.09547381375632435,False,False,False
hdfcbank_ns,random_forest,5,4624,940,0.5,0.22,0.5106382978723404,0.5106382978723404,0.5240384615384616,0.5106382978723404,0.45416666666666666,1.0,0.48660714285714285,0.676056338028169,0.5232880434782609,0.5458333333333334,0.18944919517102615,False,False,False
hdfcbank_ns,xgboost,5,4624,940,0.5,0.2,0.5180851063829788,0.5106382978723404,0.5326876513317191,0.5106382978723404,0.4583333333333333,1.0,0.49272116461366183,0.676056338028169,0.5115670289855072,0.5416666666666667,0.18333517341450717,False,False,False
infy_ns,logistic_regression,1,885,924,0.5,0.28,0.49134199134199136,0.49783549783549785,0.4647887323943662,0.5005476451259584,0.07096774193548387,0.9827956989247312,0.12313432835820895,0.6632801161103048,0.5207112235575234,0.9118279569892473,0.5401457877520959,True,False,False
infy_ns,random_forest,1,885,924,0.5,0.2,0.5021645021645021,0.5064935064935064,0.5157232704402516,0.5049288061336255,0.17634408602150536,0.9913978494623656,0.26282051282051283,0.6690856313497823,0.5027127696956919,0.8150537634408603,0.40626511852926944,True,False,False
infy_ns,xgboost,1,885,924,0.5,0.2,0.5151515151515151,0.5054112554112554,0.5825242718446602,0.5059701492537313,0.12903225806451613,0.7290322580645161,0.2112676056338028,0.5973568281938326,0.5013891817180874,0.6,0.3860892225600298,True,False,False
