asset,feature_config,feature_count,model,fold,train_samples,validation_samples,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time,is_model_collapse
infy_ns,SHORTLIST_16,16,random_forest,2,2746,1408,0.5021306818181818,0.512,0.5340751043115438,0.5228046289993192,0.5094844274522549,0.6587845999747515,0.29768759990110993,False
infy_ns,SHORTLIST_16,16,xgboost,2,2746,1408,0.5078125,0.5182072829131653,0.5146036161335188,0.5163991625959525,0.5277508069383579,0.39200290001463145,0.009339699987322092,False
infy_ns,SHORTLIST_16,16,logistic_regression,3,4154,1410,0.524822695035461,0.5474285714285714,0.6361221779548473,0.5884520884520884,0.5152297961881546,0.01586090005002916,0.005539500038139522,False
infy_ns,SHORTLIST_16,16,random_forest,3,4154,1410,0.5191489361702127,0.5482625482625483,0.5657370517928287,0.5568627450980392,0.5307688575985253,0.8489934999961406,0.2361791000002995,False
infy_ns,SHORTLIST_16,16,xgboost,3,4154,1410,0.5028368794326241,0.5294784580498866,0.6201859229747676,0.5712538226299694,0.50423774208089,0.5068656000075862,0.013554699951782823,False
infy_ns,NO_PRICE_LEVELS_27,27,logistic_regression,1,1312,1405,0.496797153024911,0.49230769230769234,0.09078014184397164,0.1532934131736527,0.5083201621073962,0.05120750004425645,0.005111900041811168,False
infy_ns,NO_PRICE_LEVELS_27,27,random_forest,1,1312,1405,0.49750889679715304,0.4857142857142857,0.024113475177304965,0.04594594594594595,0.49514387031408313,0.5053558999206871,0.18018420005682856,True
infy_ns,NO_PRICE_LEVELS_27,27,xgboost,1,1312,1405,0.5039145907473309,0.5645161290322581,0.04964539007092199,0.09126466753585398,0.5194924012158055,0.42396279994864017,0.010424300096929073,True
infy_ns,NO_PRICE_LEVELS_27,27,logistic_regression,2,2717,1408,0.5099431818181818,0.5136921624173749,0.7566063977746871,0.6119235095613048,0.5073648895518893,0.05837999994400889,0.003992400015704334,False
infy_ns,NO_PRICE_LEVELS_27,27,random_forest,2,2717,1408,0.5227272727272727,0.5403087478559176,0.4381084840055633,0.4838709677419355,0.5233865774711288,0.6458875999087468,0.22214890003670007,False
infy_ns,NO_PRICE_LEVELS_27,27,xgboost,2,2717,1408,0.5028409090909091,0.5173674588665448,0.39360222531293465,0.4470774091627172,0.5103100379296354,0.4223663000157103,0.012160100042819977,False
