strategy,fold,trade_id,net_return_pct,net_pnl,is_win
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,22,-1.6538493852802938,-2634.526684659264,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,23,7.867189216667504,12324.905757035283,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,24,-2.0480943744869005,-3461.013858164026,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,25,8.769329476985364,14515.521738971056,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,26,-0.41777674564566936,-752.1716784055911,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,27,-0.5781551360488445,-1036.570679969781,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,28,1.5867667150863212,2828.456030479243,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,29,2.764746028779442,5006.436715387012,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,30,3.656828245479015,6804.90715152749,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,31,1.9460520063564628,3753.7902262465773,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,32,-0.502130716195496,-987.421905382484,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,33,-1.5478260869565217,-3028.4604846062616,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,34,-5.181907571636158,-9981.934641405645,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,35,1.5387888915421906,2810.5758867487684,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,36,1.387312789616064,2572.8984332952514,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,37,0.2828274322048332,531.8061991856246,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,38,-12.641667038229532,-23837.613981245388,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,39,6.848097421771874,11280.61307290861,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,40,-7.138410222154381,-12564.090856305636,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,41,6.953471566802112,11364.945672267095,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,42,3.2569980603929425,5693.483502444194,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,43,-5.752252080359723,-10382.883266816953,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,44,-5.039187244430747,-8572.579846864926,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,45,7.008245530347768,11321.520952452945,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,46,-2.5060530257245084,-4332.144812159932,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,47,-1.981960742330481,-3340.2995135573656,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,48,-10.237087023732853,-16911.13545612215,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,49,2.808955652134484,4165.2223822805145,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,50,-8.42630507583333,-12845.808314758478,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,51,-1.9999799140690266,-2792.0335358387797,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,52,-5.60799095047901,-7672.351038838689,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,53,7.465291918334668,9640.580505001795,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,54,1.536577775875892,2132.4514933481564,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,55,8.857443272287858,12481.176216109385,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,56,4.088829028879412,6271.973524050649,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,57,-10.786535141067818,-17222.30795602921,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,58,-0.876034268465909,-1247.8457088137932,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,59,-1.567861982080657,-2213.738371956982,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,60,-7.675332189662175,-10667.252198460394,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,61,6.223492439983363,7985.595394885288,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,62,-4.121283950560771,-5617.282294320311,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,63,5.589730495698408,7304.774113381525,1
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,64,-18.566918238085268,-25619.89985626181,0
Candidate B: Prob + Return (P >= 0.55 & Ret > 1%),1,65,-12.490826514459426,-14035.556925310611,0
