feature_config,feature_count,model,fold,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
VOLUME,5,random_forest,2,0.503909026297086,0.49897750511247446,0.3500717360114778,0.4114671163575042,0.498870410410815,0.5385171000380069,0.2175695999758318
VOLUME,5,xgboost,2,0.5046197583511016,0.5,0.3988522238163558,0.44373503591380686,0.5074524622628165,0.37506510003004223,0.009898599935695529
VOLUME,5,logistic_regression,3,0.5237757274662882,0.5241477272727273,0.9986468200270636,0.6874708896134141,0.5104497808656312,0.019927300047129393,0.0026753999991342425
VOLUME,5,random_forest,3,0.48119233498935415,0.5370370370370371,0.07848443843031123,0.13695395513577333,0.5051107789873366,0.7036550999619067,0.22430130001157522
VOLUME,5,xgboost,3,0.48190205819730303,0.5405405405405406,0.08119079837618404,0.1411764705882353,0.5326136570193686,0.6594609000021592,0.014997799997217953
PRICE,6,logistic_regression,1,0.5117104329311568,0.5367847411444142,0.5309973045822103,0.5338753387533876,0.5084853125997648,0.019909000024199486,0.0035558000672608614
PRICE,6,random_forest,1,0.47977288857345635,0.5063291139240507,0.48517520215633425,0.4955264969029594,0.4828091345162998,0.6389415999874473,0.2276492000091821
PRICE,6,xgboost,1,0.47693399574166073,0.5044563279857398,0.38140161725067384,0.43438219493476593,0.47901554613528813,0.3426435999572277,0.01050920004490763
PRICE,6,logistic_regression,2,0.4918381831085876,0.49356223175965663,0.9885386819484241,0.6583969465648855,0.5079733536445299,0.015289700007997453,0.003017399925738573
PRICE,6,random_forest,2,0.5351312987934705,0.5278858625162127,0.5830945558739254,0.5541184479237576,0.552255993616481,0.5693010999821126,0.1904385999077931
PRICE,6,xgboost,2,0.5237757274662882,0.5157894736842106,0.6318051575931232,0.5679330328396651,0.5313352596730059,0.563591800048016,0.009762899950146675
PRICE,6,logistic_regression,3,0.511000709723208,0.5419463087248322,0.4370771312584574,0.48389513108614235,0.5204956274109831,0.013834699988365173,0.0028997999615967274
PRICE,6,random_forest,3,0.49680624556423,0.5280898876404494,0.38159675236806495,0.4430479183032207,0.4981913840809485,0.5593022999819368,0.15235940006095916
PRICE,6,xgboost,3,0.4854506742370476,0.5133079847908745,0.36535859269282817,0.4268774703557312,0.503687920344152,0.4361214000964537,0.00894879992119968
TREND_MOMENTUM,10,logistic_regression,1,0.5031937544357701,0.5194805194805194,0.7547169811320755,0.6153846153846154,0.4750340463191585,0.10397300007753074,0.005002599908038974
TREND_MOMENTUM,10,random_forest,1,0.49254790631653655,0.608,0.10242587601078167,0.17531718569780855,0.5106816537822733,0.4600995999062434,0.13430020003579557
TREND_MOMENTUM,10,xgboost,1,0.48403122782114977,0.5342465753424658,0.15768194070080863,0.24349635796045785,0.5260792784200892,0.268369699944742,0.008548000012524426
TREND_MOMENTUM,10,logistic_regression,2,0.511000709723208,0.5061224489795918,0.5329512893982808,0.5191905094207956,0.5328102394222594,0.14705369994044304,0.005589500069618225
TREND_MOMENTUM,10,random_forest,2,0.5223562810503903,0.5112917795844625,0.8108882521489972,0.6271468144044321,0.5141553725935867,0.4862723998958245,0.14304230001289397
TREND_MOMENTUM,10,xgboost,2,0.5102909865152591,0.5034904013961605,0.826647564469914,0.6258134490238612,0.5210507014213808,0.2975453999824822,0.007935800007544458
