architecture,asset,entry_date,exit_date,net_return_pct,net_pnl,is_win
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-11-06,2006-11-20,5.464510557860393,1657.6065749780003,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-12-08,2006-12-22,-1.9990693966963533,-613.0257625133563,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2006-12-08,2006-12-22,-2.7010270802569702,-662.6279960786212,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2006-12-11,2006-12-26,-0.2290501266825283,-44.95327797476462,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2006-12-22,2007-01-05,9.39542904075019,2039.867091820874,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-01-09,2007-01-23,1.8230166057283288,561.6606398446958,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-01-17,2007-01-31,-2.0993331161364757,-517.4336986514917,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-02-01,2007-02-15,-0.03453224033617543,-10.642233628206878,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-02-14,2007-02-28,-8.131480558562437,-2004.78428286134,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-02-28,2007-03-14,1.6376109426714494,423.8989517584976,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-03-05,2007-03-19,-0.4161806628780982,-105.03620811591793,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-03-14,2007-03-28,-1.0836428906103988,-275.812290422086,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-03-19,2007-04-02,-2.568606279990746,-652.1300113431689,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-03-28,2007-04-11,-0.9196691254195724,-233.1001060348354,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-04-02,2007-04-16,8.111447202195667,2046.0424989862913,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-04-11,2007-04-25,2.535739828807301,639.054762002989,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-05-04,2007-05-18,7.229301575492666,2225.4503026916664,1
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-05-07,2007-05-21,10.619132386649072,2615.173943143247,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-05-08,2007-05-22,-2.820495692346111,-555.682824005089,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-05-10,2007-05-24,-0.4523319828202184,-71.29331607446147,0
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-05-18,2007-06-01,3.0571681552062833,587.3084645294206,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-05-22,2007-06-05,-0.23226653672587327,-57.24513390154334,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-05-22,2007-06-05,3.938675333656864,776.5905499714695,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-05-24,2007-06-07,-1.4985507246376812,-283.4004715258565,0
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-06-05,2007-06-19,0.6392406720048768,153.4609583757121,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-06-06,2007-06-20,2.411376243093138,561.9503505388152,1
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-06-07,2007-06-21,-5.134451068919259,-1148.5230218308225,0
Candidate A: Equal-Weight Baseline Control,icicibank_ns,2007-06-18,2007-07-02,3.3714198166502265,603.3210909916377,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-06-19,2007-07-03,-0.5199658239306354,-99.56396364162512,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-06-20,2007-07-04,4.556576811508766,915.496318540884,1
Candidate A: Equal-Weight Baseline Control,reliance_ns,2007-06-21,2007-07-05,-1.4619248595066665,-297.0264591265365,0
Candidate A: Equal-Weight Baseline Control,tcs_ns,2007-06-22,2007-07-06,1.5896091062026223,258.3749560808451,1
Candidate A: Equal-Weight Baseline Control,infy_ns,2007-07-03,2007-07-17,-0.5042236051787047,-103.42943989092504,0
Candidate A: Equal-Weight Baseline Control,hdfcbank_ns,2007-07-04,2007-07-18,4.232020800086985,872.2847218131465,1
