date,portfolio_equity
2011-11-23,185945.2824866143
2011-11-24,185933.7088143868
2011-11-25,185037.88186051144
2011-11-28,186426.76270344495
2011-11-29,185556.39782847016
2011-11-30,186169.81790869453
2011-12-01,187528.61625200673
2011-12-02,187703.70171679356
2011-12-05,187455.69261032244
2011-12-07,187598.41436046935
2011-12-08,186150.13064138146
2011-12-09,185066.84163315847
2011-12-12,183747.241766534
2011-12-13,184439.79679444112
2011-12-14,184421.07959752975
2011-12-15,186628.83321873474
2011-12-16,183377.16542837064
2011-12-19,184039.21261706506
2011-12-20,182963.6960333756
2011-12-21,184664.34377561868
2011-12-22,184986.7503437937
2011-12-23,184585.58629217895
2011-12-26,185304.23806042265
2011-12-27,184912.9182835121
2011-12-28,184223.79933938108
2011-12-29,147845.704923936
2011-12-30,219428.30206241063
2012-01-02,183567.9831722966
2012-01-03,184522.440187909
2012-01-04,184074.21366188247
2012-01-05,183196.21993650167
2012-01-06,184148.0368882307
2012-01-09,212784.8858645466
2012-01-10,185381.0044301959
2012-01-11,209021.29812069546
2012-01-12,182594.29519057408
2012-01-13,143935.37640461425
2012-01-16,209585.12433812837
2012-01-17,184262.21231297904
2012-01-18,184667.3123100926
2012-01-19,185532.9924357738
2012-01-20,187088.02060359356
2012-01-23,160055.32283132017
2012-01-24,188243.66584132102
2012-01-25,161889.82651719483
2012-01-27,189361.95778449363
2012-01-30,158961.1483852244
2012-01-31,188411.46914833487
2012-02-01,188411.46914833487
2012-02-02,188411.46914833487
2012-02-03,188411.46914833487
2012-02-06,188411.46914833487
2012-02-07,188411.46914833487
2012-02-08,188411.46914833487
2012-02-09,226056.08068417216
2012-02-10,187999.26409676718
2012-02-13,188167.49695897108
2012-02-14,188530.00524474354
2012-02-15,220145.7923985355
2012-02-16,212726.72246466414
2012-02-17,189651.51215556814
2012-02-21,190873.44535787965
2012-02-22,189278.16248736085
2012-02-23,150981.53073163965
2012-02-24,215037.11464566085
2012-02-27,184987.0983854276
2012-02-28,186110.548883173
2012-02-29,157402.0124901883
2012-03-01,162407.45078987753
2012-03-02,186619.74214095456
2012-03-05,185688.1615105009
2012-03-06,217288.56338907592
2012-03-07,184752.72745639985
2012-03-09,160478.99092426524
2012-03-12,218762.21045310708
2012-03-13,188711.39658097157
2012-03-14,189287.03272156155
2012-03-15,187760.1235278504
2012-03-16,186339.61355827368
2012-03-19,185300.37478650452
2012-03-20,185144.74199876733
2012-03-21,186671.32026908122
2012-03-22,184232.56056478556
2012-03-23,184909.66294133384
2012-03-26,178840.984106575
2012-03-27,183483.29862242658
2012-03-28,182977.4298433638
2012-03-29,182486.51504727182
2012-03-30,184196.68453854948
2012-04-02,183645.50609185337
2012-04-03,210742.5958843765
2012-04-04,183348.20737200882
2012-04-09,157493.12225777857
2012-04-10,182174.99501339847
2012-04-11,206974.54516194953
2012-04-12,182127.84896877245
2012-04-13,178934.52528147164
2012-04-16,198923.75423839292
2012-04-17,145248.16923841747
2012-04-18,179332.73522215738
2012-04-19,180057.85490887714
2012-04-20,179637.7904777628
2012-04-23,178711.9064595534
2012-04-24,178890.67557937256
2012-04-25,185098.95819338626
2012-04-26,179187.59720673412
2012-04-27,179523.06508073042
2012-04-30,159766.54460063227
2012-05-02,158154.61215175877
2012-05-03,180684.350388968
2012-05-04,180210.67970791462
2012-05-07,180160.36467655888
2012-05-08,179654.88174719084
2012-05-09,216460.54849302373
2012-05-10,178897.42269442955
2012-05-11,178525.00983746495
2012-05-14,178288.00736991197
2012-05-15,179457.0626191775
2012-05-16,178520.27381092045
2012-05-17,178925.28394908126
2012-05-18,179251.74831218852
2012-05-21,178896.30844997906
2012-05-22,178724.7034058516
2012-05-23,114774.4342873808
2012-05-24,214352.60766191792
2012-05-25,178410.72912128308
2012-05-28,178947.21827502377
2012-05-29,178957.48568207736
2012-05-30,179183.37549133252
2012-05-31,179150.00299137004
2012-06-01,178105.2669073628
2012-06-04,178490.3049529866
2012-06-05,207549.94836845924
2012-06-06,180239.68647681468
2012-06-07,174510.41783999684
2012-06-08,181586.51956818558
2012-06-11,181187.59360892393
2012-06-12,181660.41345530626
2012-06-13,181752.92122175664
2012-06-14,180655.37220009422
2012-06-15,182059.51177281555
2012-06-18,180679.3741559139
2012-06-19,152017.3633066567
2012-06-20,181824.66697535722
2012-06-21,187075.97188580345
2012-06-22,180616.79487719105
2012-06-25,180878.50817253135
