asset,config_id,fold,feature,train_mean,val_mean,mean_shift,train_std,val_std
hdfcbank_ns,C7,2,MOMENTUM_ACCELERATION,-0.0008002203121636451,-5.47490686715977e-05,0.0007454712434920474,0.06764114667073526,0.08804764666241961
hdfcbank_ns,C7,3,MOMENTUM_ACCELERATION,-0.000545940532348556,-0.0002828815539114112,0.0002630589784371448,0.07521113948380151,0.04791553736979256
hdfcbank_ns,C7,4,MOMENTUM_ACCELERATION,-0.0004789800651100104,-0.00011918613521952872,0.0003597939298904817,0.06928486543552116,0.03218448723039133
hdfcbank_ns,C7,5,MOMENTUM_ACCELERATION,-0.0004058543798998366,0.00030812906215426706,0.0007139834420541037,0.06352089763866796,0.056718499363345866
hdfcbank_ns,C57,1,POSITION_IN_20D_RANGE,0.49126022835126887,0.6108180343133525,0.1195578059620836,0.24744423945062732,0.2534934400209254
hdfcbank_ns,C57,1,MOMENTUM_ACCELERATION,-0.00042270979442002565,-5.186198973135035e-05,0.0003708478046886753,0.05269739000475965,0.06668587047455349
hdfcbank_ns,C57,2,POSITION_IN_20D_RANGE,0.5608704442989471,0.5609995410326277,0.00012909673368066699,0.2577452616785518,0.29303173459397147
hdfcbank_ns,C57,2,MOMENTUM_ACCELERATION,-0.00020679084575440744,-5.47490686715977e-05,0.00015204177708280975,0.06121419030553897,0.08804764666241961
hdfcbank_ns,C57,3,POSITION_IN_20D_RANGE,0.5609183696711573,0.5923682087321888,0.03144983906103149,0.27132345176400735,0.2875077208545756
hdfcbank_ns,C57,3,MOMENTUM_ACCELERATION,-0.00015034744435718376,-0.0002828815539114112,-0.00013253410955422747,0.07232964935347597,0.04791553736979256
hdfcbank_ns,C57,4,POSITION_IN_20D_RANGE,0.5694394410285367,0.5866461487000617,0.01720670767152499,0.2761143688921695,0.28308526443061816
hdfcbank_ns,C57,4,MOMENTUM_ACCELERATION,-0.00018625645497586204,-0.00011918613521952872,6.707031975633332e-05,0.06659797763019312,0.03218448723039133
hdfcbank_ns,C57,5,POSITION_IN_20D_RANGE,0.5731137493454912,0.5525779477735281,-0.020535801571963108,0.2776747391643949,0.28670467402685895
hdfcbank_ns,C57,5,MOMENTUM_ACCELERATION,-0.00017193430582298765,0.00030812906215426706,0.0004800633679772547,0.060901354861904136,0.056718499363345866
hdfcbank_ns,C8,1,POSITION_IN_20D_RANGE,0.49126022835126887,0.6108180343133525,0.1195578059620836,0.24744423945062732,0.2534934400209254
hdfcbank_ns,C8,1,MOMENTUM_ACCELERATION,-0.00042270979442002565,-5.186198973135035e-05,0.0003708478046886753,0.05269739000475965,0.06668587047455349
hdfcbank_ns,C8,2,POSITION_IN_20D_RANGE,0.5608704442989471,0.5609995410326277,0.00012909673368066699,0.2577452616785518,0.29303173459397147
hdfcbank_ns,C8,2,MOMENTUM_ACCELERATION,-0.00020679084575440744,-5.47490686715977e-05,0.00015204177708280975,0.06121419030553897,0.08804764666241961
hdfcbank_ns,C8,3,POSITION_IN_20D_RANGE,0.5609183696711573,0.5923682087321888,0.03144983906103149,0.27132345176400735,0.2875077208545756
hdfcbank_ns,C8,3,MOMENTUM_ACCELERATION,-0.00015034744435718376,-0.0002828815539114112,-0.00013253410955422747,0.07232964935347597,0.04791553736979256
hdfcbank_ns,C8,4,POSITION_IN_20D_RANGE,0.5694394410285367,0.5866461487000617,0.01720670767152499,0.2761143688921695,0.28308526443061816
hdfcbank_ns,C8,4,MOMENTUM_ACCELERATION,-0.00018625645497586204,-0.00011918613521952872,6.707031975633332e-05,0.06659797763019312,0.03218448723039133
hdfcbank_ns,C8,5,POSITION_IN_20D_RANGE,0.5731137493454912,0.5525779477735281,-0.020535801571963108,0.2776747391643949,0.28670467402685895
hdfcbank_ns,C8,5,MOMENTUM_ACCELERATION,-0.00017193430582298765,0.00030812906215426706,0.0004800633679772547,0.060901354861904136,0.056718499363345866
infy_ns,C5,1,POSITION_IN_20D_RANGE,0.493823967248985,0.6148890136324681,0.12106504638348309,0.2995207103607792,0.2727503660219713
infy_ns,C5,2,POSITION_IN_20D_RANGE,0.564311744727459,0.5418231498804285,-0.022488594847030585,0.2903579546265749,0.29674939159687375
infy_ns,C5,3,POSITION_IN_20D_RANGE,0.5559631657370995,0.5417870133133581,-0.014176152423741373,0.29288997149246054,0.3071640814984228
infy_ns,C5,4,POSITION_IN_20D_RANGE,0.5521222555772296,0.5315457765276426,-0.020576479049587038,0.2968473225507087,0.27910043778598015
