feature,importance,model,fold,config
Volume,1.266081189250831e-09,logistic_regression,3,ALL
OBV,2.3514222592750924e-12,logistic_regression,3,ALL
High,5.166237197405224e-13,logistic_regression,3,ALL
Close,5.132390445311661e-13,logistic_regression,3,ALL
Open,5.129386019712843e-13,logistic_regression,3,ALL
Low,5.015675447882797e-13,logistic_regression,3,ALL
SMA_20,4.795104814475479e-13,logistic_regression,3,ALL
EMA_20,4.7291031389653e-13,logistic_regression,3,ALL
Adj Close,4.661548693367924e-13,logistic_regression,3,ALL
EMA_50,4.572258926711015e-13,logistic_regression,3,ALL
SMA_50,4.374324685728808e-13,logistic_regression,3,ALL
MOMENTUM_20,7.12724097797392e-14,logistic_regression,3,ALL
ROC_12,4.6974531961863945e-14,logistic_regression,3,ALL
MOMENTUM_10,4.583989375717971e-14,logistic_regression,3,ALL
RSI_14,3.335291082994724e-14,logistic_regression,3,ALL
TRUE_RANGE,1.9535497109940317e-14,logistic_regression,3,ALL
ATR_14,1.3810386969892606e-14,logistic_regression,3,ALL
PRICE_CHANGE_PCT,1.326025894875891e-14,logistic_regression,3,ALL
VOLUME_CHANGE_PCT,1.0872428757427064e-14,logistic_regression,3,ALL
ROLLING_STD_20,1.0774951542756827e-14,logistic_regression,3,ALL
GAP_PCT,8.894544856457105e-15,logistic_regression,3,ALL
LOWER_WICK,8.111934728591965e-15,logistic_regression,3,ALL
BODY_SIZE,6.818687468813916e-15,logistic_regression,3,ALL
OPEN_CLOSE_PCT,4.4196822035009865e-15,logistic_regression,3,ALL
HIGH_LOW_PCT,4.3990918714764336e-15,logistic_regression,3,ALL
DAILY_RANGE_PCT,4.3990918714764336e-15,logistic_regression,3,ALL
HIST_VOL_20,1.9719288281659713e-15,logistic_regression,3,ALL
DAILY_RETURN,1.326025894875863e-16,logistic_regression,3,ALL
UPPER_WICK,1.2555275500578616e-16,logistic_regression,3,ALL
VOLUME_RATIO,8.339143109204176e-17,logistic_regression,3,ALL
GAP_PCT,0.041234709375677865,random_forest,3,ALL
VOLUME_CHANGE_PCT,0.03832645768708332,random_forest,3,ALL
VOLUME_RATIO,0.036975375428203755,random_forest,3,ALL
HIST_VOL_20,0.03664336730236178,random_forest,3,ALL
ROC_12,0.03634312249525233,random_forest,3,ALL
MOMENTUM_20,0.035859510128723925,random_forest,3,ALL
RSI_14,0.03503330394544296,random_forest,3,ALL
UPPER_WICK,0.034521773499577704,random_forest,3,ALL
MOMENTUM_10,0.034479036938164134,random_forest,3,ALL
BODY_SIZE,0.03445503361407486,random_forest,3,ALL
LOWER_WICK,0.03435193427021072,random_forest,3,ALL
ROLLING_STD_20,0.03403703313783442,random_forest,3,ALL
Volume,0.03294273162797993,random_forest,3,ALL
DAILY_RETURN,0.032554461776043424,random_forest,3,ALL
OBV,0.032431342838846626,random_forest,3,ALL
OPEN_CLOSE_PCT,0.032111412139217005,random_forest,3,ALL
PRICE_CHANGE_PCT,0.03173317422133173,random_forest,3,ALL
ATR_14,0.0315892911350945,random_forest,3,ALL
VOLUME_EMA_20,0.03153669310875883,random_forest,3,ALL
VOLUME_SMA_20,0.03126914259653704,random_forest,3,ALL
DAILY_RANGE_PCT,0.031127106812528425,random_forest,3,ALL
HIGH_LOW_PCT,0.030987005825226333,random_forest,3,ALL
TRUE_RANGE,0.029681624201833085,random_forest,3,ALL
Adj Close,0.025582306509122955,random_forest,3,ALL
SMA_20,0.025218759542283458,random_forest,3,ALL
SMA_50,0.024932462202690246,random_forest,3,ALL
EMA_20,0.024857349199036007,random_forest,3,ALL
EMA_50,0.024655882709187858,random_forest,3,ALL
Open,0.023994542595241652,random_forest,3,ALL
Close,0.02399253637033699,random_forest,3,ALL
High,0.023453301136584618,random_forest,3,ALL
Low,0.023088215629511483,random_forest,3,ALL
ROC_12,0.03695819154381752,xgboost,3,ALL
SMA_20,0.03609870374202728,xgboost,3,ALL
