config_id,asset,target_name,model,fold,feature_count,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,mean_realized_ret_buy,mean_realized_ret_sell,return_spread,spread_minus_5bps,spread_minus_10bps,spread_minus_20bps,training_time,prediction_time
C6_GroupF,tcs_ns,TARGET_D,random_forest,2,20,1363,842,0.5649303008070433,0.5630824695808924,0.6790353995093352,0.1167681331869986,0.47534766118836913,0.706766917293233,0.3580952380952381,0.5071258907363421,0.3159144893111639,0.031749425749280795,0.012163198400801864,0.01958622734847893,0.01908622734847893,0.01858622734847893,0.01758622734847893,0.4206275000469759,0.07108219992369413
C6_GroupF,tcs_ns,TARGET_D,random_forest,3,20,2205,842,0.5873015873015873,0.5921679358831751,0.63008220645218,0.11264543873630097,0.5542452830188679,0.6135770234986945,0.5053763440860215,0.5510688836104513,0.45486935866983375,0.01361869625431023,0.0033608775444985144,0.010257818709811716,0.009757818709811716,0.009257818709811717,0.008257818709811716,0.6035110000520945,0.10536309995222837
C6_GroupF,tcs_ns,TARGET_D,random_forest,4,20,3047,844,0.5776173285198556,0.5393231131536228,0.5881031691871641,0.08202567450789547,0.5386416861826698,0.6117021276595744,0.4811715481171548,0.533175355450237,0.44549763033175355,0.012144195452350324,0.005976286178638746,0.006167909273711578,0.005667909273711578,0.005167909273711578,0.004167909273711578,0.5711307999445125,0.0766933000413701
C6_GroupF,tcs_ns,TARGET_D,random_forest,5,20,3891,844,0.5751734772552043,0.5636056043781366,0.5933739069759525,0.11153329037806321,0.5671641791044776,0.6098765432098765,0.5300429184549357,0.5533175355450237,0.47985781990521326,0.00940023006979869,0.0026833110815735026,0.006716918988225188,0.0062169189882251875,0.005716918988225188,0.004716918988225188,0.579162499983795,0.06480059993918985
C7_GroupG,tcs_ns,TARGET_D,random_forest,1,20,520,843,0.6346153846153846,0.5258600270697045,0.5442650372054569,0.007837336842650238,0.6793953858392999,0.5226438188494492,0.9704545454545455,0.5219454329774614,0.9691577698695136,0.000912381379306403,-0.018472991570831966,0.01938537295013837,0.018885372950138368,0.018385372950138368,0.017385372950138367,0.4076280000153929,0.08020650001708418
C7_GroupG,tcs_ns,TARGET_D,random_forest,2,20,1363,842,0.5649303008070433,0.5876641129637976,0.7017222962456822,0.1347176062970796,0.4880503144654088,0.7185185185185186,0.36952380952380953,0.5166270783847982,0.32066508313539194,0.030867954517108505,0.012442310854110612,0.01842564366299789,0.01792564366299789,0.01742564366299789,0.01642564366299789,0.4097005999647081,0.06491200008895248
C7_GroupG,tcs_ns,TARGET_D,random_forest,3,20,2205,842,0.5873015873015873,0.5911611191922649,0.6490412585696814,0.0939899262855946,0.5555555555555556,0.6015037593984962,0.5161290322580645,0.5439429928741093,0.47387173396674587,0.013436580756414733,0.0031544192697881665,0.010282161486626567,0.009782161486626566,0.009282161486626566,0.008282161486626567,0.5767414000583813,0.10619039996527135
C7_GroupG,tcs_ns,TARGET_D,random_forest,4,20,3047,844,0.5776173285198556,0.5566939890710383,0.6117123794104047,0.08339337953706655,0.5364705882352941,0.6129032258064516,0.4769874476987448,0.533175355450237,0.44075829383886256,0.015304127057927495,0.0035381020257153105,0.011766025032212184,0.011266025032212183,0.010766025032212183,0.009766025032212184,0.583453599945642,0.07806800003163517
C7_GroupG,tcs_ns,TARGET_D,random_forest,5,20,3891,844,0.5751734772552043,0.5839578082067353,0.6121454607917016,0.12866297787037304,0.5575326215895611,0.623342175066313,0.5042918454935622,0.5580568720379147,0.4466824644549763,0.009279159198600728,0.003183776713504848,0.00609538248509588,0.00559538248509588,0.00509538248509588,0.00409538248509588,0.588320399983786,0.08032900001853704
C8_Filtered_Combined,tcs_ns,TARGET_D,random_forest,1,41,384,843,0.7291666666666666,0.46051206857658467,0.525012314905501,-0.024012080592115032,0.6633906633906634,0.5185659411011524,0.9204545454545454,0.5124555160142349,0.9264531435349941,0.0005065812147957521,-0.002105195527480359,0.0026117767422761114,0.0021117767422761113,0.0016117767422761113,0.0006117767422761113,0.37086080003064126,0.06659229996148497
C8_Filtered_Combined,tcs_ns,TARGET_D,random_forest,2,41,1227,842,0.58679706601467,0.6019678533874118,0.7306539331768842,0.2049646573317342,0.5286783042394015,0.7653429602888087,0.4038095238095238,0.5510688836104513,0.32897862232779096,0.03996371659705846,0.007754690319974111,0.03220902627708435,0.03170902627708435,0.03120902627708435,0.03020902627708435,0.4190673000412062,0.06568200001493096
C8_Filtered_Combined,tcs_ns,TARGET_D,random_forest,3,41,2069,842,0.6017399710004834,0.5960126636433645,0.6807820091372389,0.09456340897379968,0.6174358974358974,0.5901960784313726,0.6473118279569893,0.5570071258907363,0.6057007125890737,0.01106623258928224,0.003357906137926789,0.007708326451355451,0.0072083264513554506,0.006708326451355451,0.005708326451355451,0.4552260999334976,0.07682439999189228
C8_Filtered_Combined,tcs_ns,TARGET_D,random_forest,4,41,2911,844,0.5874270010305737,0.5750623042275419,0.6455467181132285,0.12595545495336505,0.5681293302540416,0.634020618556701,0.5146443514644351,0.556872037914692,0.4597156398104265,0.017537769680206663,0.0012247034775580456,0.016313066202648618,0.015813066202648617,0.015313066202648617,0.014313066202648618,0.7615163000300527,0.08065209991764277
C8_Filtered_Combined,tcs_ns,TARGET_D,random_forest,5,41,3755,844,0.5826897470039947,0.567318391352726,0.6049519306789317,0.09641278116637754,0.5848849945235487,0.5973154362416108,0.572961373390558,0.5509478672985783,0.5296208530805687,0.008048734451794094,0.003494414214426393,0.004554320237367701,0.0040543202373677,0.0035543202373677007,0.0025543202373677007,0.7638314999639988,0.07796850008890033
