sim_seed,mean_cum_return_pct,mean_sharpe,mean_sortino
128,63.891094896137076,0.700508171162701,0.8626341494691756
129,49.33333723202392,0.4873343515631853,0.6395304534112538
130,36.21476551407353,0.4376805698477182,0.5556863922700399
131,39.82486945386721,0.4343752665109103,0.5452097316372411
132,58.59357424012493,0.6067098950532408,0.8048516299957763
133,53.64979512529188,0.5901655660272459,0.7565733426494485
134,21.984357974799043,0.26892985324138097,0.37049053768942897
135,82.51946984597325,0.660310603780662,0.9035095179522475
136,40.52718006979823,0.5450298334889785,0.6547730874240815
137,40.721945168616294,0.48649037997653755,0.6050196381324746
138,47.27338924246977,0.5200239188091226,0.640574241805657
139,68.1149723162157,0.6827757894023929,0.8747377422333343
140,38.64142437725903,0.4896595711772623,0.6039198233675525
141,42.025876938835786,0.5638974776182778,0.7238102389017931
142,31.850707501295233,0.3422916891355919,0.4813259596048141
143,68.78546397269017,0.7104542085372416,0.8844626434792249
144,-0.23350695857646214,0.07325684292155552,0.10320428876367846
145,77.63452992043709,0.7547395119879685,0.9727942845480714
146,35.95955270521459,0.5326772509416255,0.6229622515060205
147,25.13799689031718,0.3217282106515911,0.4151307270607716
148,48.788105863577066,0.4939065432312349,0.6148826048165273
149,66.53104946279245,0.6715019560920787,0.8352725459251381
150,63.22531187277541,0.534448355600398,0.7565212117655226
151,56.19477799619657,0.6062724888271391,0.7842897433556022
152,55.01140709717824,0.609568195967532,0.7718416369503345
153,44.23230093382679,0.4365367423057398,0.6075967125049362
154,71.4874006111121,0.5684521067951968,0.7663207321297254
155,22.878646440583843,0.3785726529874538,0.43861604581902747
156,49.88456866640588,0.6095502699563362,0.7709795929572029
157,48.20231109053182,0.5960384345686143,0.7309190622003625
158,48.80814815855589,0.5778150999729046,0.740951413035583
159,40.803736706788335,0.3487218664808014,0.5271011233145864
160,50.857699153349195,0.5120420578728128,0.6331531135285905
161,40.53139541482295,0.51313045265131,0.6557054242178404
162,38.192874261778165,0.4529964479249891,0.5394382982408726
163,43.04120330822899,0.5561787184623965,0.7375196859154771
164,41.474802835320006,0.5916503817499734,0.7274374777453811
165,51.93908695818677,0.6404005172797776,0.8284805115924542
166,56.550273963216625,0.6261561263228257,0.816294642774605
167,16.924414241177782,0.29763243674525247,0.35024255659804726
168,35.73850088242217,0.5053752591501083,0.6329426446239412
169,76.27552421105818,0.8483933165423888,1.0629827590733432
170,56.61605037145607,0.5561923318206964,0.7245027597006645
171,50.88394020286153,0.6567318378262417,0.8212256213639954
172,49.154550842102786,0.581209421260611,0.7312029679807008
173,83.3313692062097,0.7854524612110779,1.028479485071371
174,38.739868136843704,0.503589086695239,0.6346376810108749
175,46.32680867556349,0.45602568846388447,0.5894505743056271
176,46.49199966831075,0.6190452782076489,0.7697553039362708
177,49.02055773647096,0.5381407291399777,0.7201040674015182
178,36.28861071166277,0.5454445352055883,0.6743819706263348
179,40.25607190189358,0.43217679291379607,0.6085038916386755
180,49.66615518449712,0.5362690708048248,0.7065557241398325
181,38.61876443985547,0.4778364497836153,0.6242813963107504
182,36.08942360434058,0.4990596697556535,0.593039354436219
183,25.215471193724717,0.3437301607040676,0.44013689346869034
184,53.30515646165461,0.6472758482450462,0.8180577228590862
185,65.14983349342613,0.6394390527903159,0.8429282444395995
186,13.823263103642512,0.1648236269142439,0.24502416406074873
187,84.82211921422757,0.5543970431495745,0.71116353878193
188,54.374848961279824,0.6653723748452218,0.8487593923712723
189,57.80133029394119,0.511542411515949,0.7026556887978672
190,55.13516645513596,0.6099397066352299,0.7920351954682319
191,55.22244190150241,0.6699288666093631,0.8465947905913118
192,40.21588364462258,0.5104986391493533,0.6462386719680837
193,42.47905167545992,0.5552488950461225,0.7005471668054426
194,31.359414282039733,0.45186838220106545,0.5542883027992268
195,42.90228473106152,0.5557393225420643,0.6806305834174028
196,16.56719900324699,0.2841081539181037,0.35682149604613433
197,48.43314994746641,0.48463596065731185,0.638635253852364
198,43.30957872501426,0.5328088913701453,0.6697231297315099
199,22.091948503359365,0.3543782906606131,0.4421262746167919
200,49.92047178499548,0.5367191140020335,0.7135782242944835
201,33.28553741258075,0.4760774129047342,0.5852325230353339
202,51.37745054916189,0.6812505587411506,0.8174275204897586
203,41.66019397846007,0.5613958731275857,0.6953553673346835
204,38.40149839329104,0.509083292195886,0.6209085759970603
205,60.32728817258061,0.6311436097785285,0.8034651864020852
206,9.642201996570646,0.20206547498295246,0.2656556424962701
207,27.973343177365432,0.38106909721784954,0.5105255152552741
208,55.821307296912565,0.5564158938861179,0.7176764032117575
209,45.35191301484695,0.5380664427352586,0.6787794396417342
210,57.269886871484076,0.6844877971040365,0.8296622436415475
211,44.24932205786494,0.43535367987693274,0.6408454193411999
212,35.395097924255275,0.5062088434996341,0.6200034694472256
213,39.25835068315242,0.42831594146228086,0.5525908450407875
214,57.82929439260054,0.5770205347631532,0.7401974369393715
215,76.93390618496645,0.6058529781259081,0.8347218457054234
216,23.6142263466782,0.26686463950386863,0.35922296299795836
217,45.54986828993412,0.6200917613844332,0.7454226207259489
218,26.413010121447947,0.30567400360979524,0.38197839661278493
219,40.68627496840803,0.5614651768149753,0.6694354054877533
220,29.213169836476588,0.43143223445489143,0.5475673524208087
221,65.2531677642491,0.6666312902172661,0.8332071023773846
222,26.733440880344904,0.4326483268862373,0.5091155926588605
223,60.712699609862284,0.7490483947819835,0.9592721510759915
224,78.46357104876728,0.7710113796009722,1.0473870515059518
225,57.61822645846178,0.5860812710441633,0.7727071455858252
226,66.69696598780322,0.6576734811825047,0.8721299087977664
227,45.84544357299831,0.6269708951949285,0.8102920990195723
228,51.933451842790205,0.5707389394377889,0.7478444331036416
229,26.678655193136755,0.3604604404612577,0.46721988840451295
230,36.82578292601939,0.5433114169012001,0.665457979723096
231,23.342189009274115,0.36220842804042,0.44448244198794706
232,27.5368439101886,0.42320676704023297,0.516526889994118
233,76.1793590897818,0.7840861590132943,0.995007767695145
234,82.24408676105622,0.675610488673551,0.924921465024722
235,31.575982585534565,0.42101032337300986,0.49263413013472973
236,-0.020868854730252906,0.04889201354075036,0.0840681665024276
237,39.993650038518425,0.46380394749815934,0.5855786858630692
238,55.495149610867244,0.5978513881500109,0.7367095477787273
239,34.72089892475633,0.4116622286751877,0.5341436124766201
240,69.41501036415403,0.6959835321231631,0.8665156753177543
241,35.670253374506956,0.5043567430203778,0.6375113391808103
242,50.02389749524865,0.4862009154953846,0.638077431943078
243,33.01371133662028,0.44309455903489264,0.5815262973522487
244,52.250365177911604,0.45712869171734216,0.6294567350018385
245,51.21078861266521,0.4881146061258588,0.6278134846276574
246,39.935649174493356,0.5390974590530683,0.6846085149206332
247,76.26292704183106,0.7279441574054168,0.9442932098572182
248,31.572579436563426,0.41463520444149704,0.5050072846439706
249,19.126718402202826,0.3368346608158463,0.4096980293277047
