date,fold,cash,position_value,total_equity,daily_return,cumulative_return,exposure
2006-02-06,1,0.0,111389.16621790918,111389.16621790918,0.02959284297318001,0.1138916621790918,100.0
2006-02-07,1,0.0,111060.11336016055,111060.11336016055,-0.0029540831386142513,0.11060113360160555,100.0
2006-02-08,1,0.0,110290.56875569426,110290.56875569426,-0.006929081748464589,0.10290568755694257,100.0
2006-02-10,1,0.0,110761.58249736318,110761.58249736318,0.004270662006578932,0.10761582497363183,100.0
2006-02-13,1,0.0,109527.65655076764,109527.65655076764,-0.011140378448682018,0.09527656550767642,100.0
2006-02-14,1,0.0,107375.58461807789,107375.58461807789,-0.019648662269079374,0.0737558461807789,100.0
2006-02-15,1,0.0,107428.65191256333,107428.65191256333,0.0004942212391597125,0.07428651912563335,100.0
2006-02-16,1,0.0,108078.78903081144,108078.78903081144,0.006051803747637627,0.08078789030811444,100.0
2006-02-17,1,0.0,107695.00875415048,107695.00875415048,-0.00355093057668844,0.07695008754150476,100.0
2006-02-20,1,0.0,109342.57573265175,109342.57573265175,0.015298452524038414,0.09342575732651749,100.0
2006-02-21,1,0.0,110412.23666733211,110412.23666733211,0.009782657190148291,0.10412236667332109,100.0
2006-02-22,1,0.0,110137.86195114393,110137.86195114393,-0.0024850027901785667,0.10137861951143932,100.0
2006-02-23,1,0.0,110714.44931359263,110714.44931359263,0.005235142141259905,0.10714449313592632,100.0
2006-02-24,1,0.0,110681.31238782212,110681.31238782212,-0.00029930082275575167,0.10681312387822123,100.0
2006-02-27,1,0.0,112026.66672006289,112026.66672006289,0.012155207624632292,0.12026666720062887,100.0
2006-02-28,1,0.0,112718.56993698736,112718.56993698736,0.0061762367584624524,0.12718569936987362,100.0
2006-03-01,1,0.0,115329.75321564756,115329.75321564756,0.02316551106104276,0.15329753215647565,100.0
2006-03-02,1,0.0,115435.79785016901,115435.79785016901,0.0009194906913843661,0.15435797850169009,100.0
2006-03-03,1,0.0,112934.23836615667,112934.23836615667,-0.021670569533891564,0.12934238366156672,100.0
2006-03-06,1,0.0,115485.88099654253,115485.88099654253,0.02259405710173469,0.1548588099654253,100.0
2006-03-07,1,0.0,114188.20600824506,114188.20600824506,-0.011236654880230073,0.14188206008245063,100.0
2006-03-08,1,0.0,114046.52890413173,114046.52890413173,-0.0012407332514104174,0.1404652890413173,100.0
2006-03-09,1,0.0,114198.8014836297,114198.8014836297,0.0013351794303706047,0.14198801483629694,100.0
2006-03-10,1,0.0,116767.6587307732,116767.6587307732,0.022494607769694915,0.16767658730773197,100.0
2006-03-13,1,0.0,121067.17494657742,121067.17494657742,0.03682112206871815,0.2106717494657742,100.0
2006-03-14,1,0.0,119382.85804950744,119382.85804950744,-0.013912250763373355,0.19382858049507443,100.0
2006-03-16,1,0.0,121517.38970765773,121517.38970765773,0.01787971651059908,0.21517389707657728,100.0
2006-03-17,1,0.0,123212.30208011235,123212.30208011235,0.013947899774116142,0.2321230208011235,100.0
2006-03-20,1,0.0,126197.73417328612,126197.73417328612,0.02422998387963447,0.26197734173286125,100.0
2006-03-21,1,0.0,126673.94880853189,126673.94880853189,0.0037735593143998804,0.2667394880853189,100.0
2006-03-22,1,0.0,125229.42354598186,125229.42354598186,-0.011403491216125534,0.2522942354598186,100.0
2006-03-23,1,0.0,123962.15263394869,123962.15263394869,-0.010119593911313129,0.23962152633948688,100.0
2006-03-24,1,0.0,125103.75332798992,125103.75332798992,0.009209268069200914,0.2510375332798992,100.0
2006-03-27,1,0.0,125070.68264293403,125070.68264293403,-0.0002643460661742884,0.2507068264293403,100.0
2006-03-28,1,0.0,124848.44860822616,124848.44860822616,-0.0017768675281187242,0.24848448608226156,100.0
2006-03-29,1,0.0,125546.90535207752,125546.90535207752,0.005594436708165403,0.2554690535207752,100.0
2006-03-30,1,0.0,130172.82890222486,130172.82890222486,0.0368461774280667,0.30172828902224863,100.0
2006-03-31,1,0.0,126693.79444912451,126693.79444912451,-0.02672627216017188,0.26693794449124514,100.0
2006-04-03,1,0.0,128896.91386537271,128896.91386537271,0.017389323808853867,0.28896913865372714,100.0
2006-04-04,1,0.0,128751.55158847055,128751.55158847055,-0.001127740552841979,0.28751551588470553,100.0
2006-04-05,1,0.0,127661.31031423293,127661.31031423293,-0.008467791345321909,0.27661310314232934,100.0
2006-04-07,1,0.0,124833.28729775979,124833.28729775979,-0.0221525457439853,0.24833287297759787,100.0
2006-04-10,1,0.0,125153.08914643883,125153.08914643883,0.002561831508259719,0.2515308914643883,100.0
