trade_id,fold,signal_date,entry_date,entry_price,exit_date,exit_price,predicted_probability,target,holding_period,gross_return_pct,transaction_cost_pct,net_return_pct,capital_before,capital_after,cumulative_return_pct,win_loss,regime
80,1,2009-04-16,2009-04-16,143.0124969482422,2009-04-28,149.625,0.76,1,8,4.623723935224311,0.1,4.5191002112890875,77132.11450379761,80617.79205331046,-19.382207946689537,1,HIGH_VOLATILITY
81,2,2009-04-29,2009-04-29,155.89999389648438,2009-05-15,161.0124969482422,0.55,0,10,3.2793478203420907,0.1,3.1760684725217487,80617.79205331046,83178.2683299588,3.1760684725217434,1,HIGH_VOLATILITY
82,2,2009-05-15,2009-05-15,161.0124969482422,2009-05-29,176.14999389648438,0.715,1,10,9.401442270104145,0.1,9.29204082783404,83178.2683299588,90907.22698306391,12.763230879542462,1,HIGH_VOLATILITY
83,2,2009-06-01,2009-06-01,174.41250610351562,2009-06-15,194.5,0.625,1,10,11.517232534094912,0.1,11.405715301560818,90907.22698306391,101275.84648129586,25.624683958504786,1,HIGH_VOLATILITY
84,2,2009-06-18,2009-06-18,188.1999969482422,2009-07-02,195.0,0.56,1,10,3.6131791509156694,0.1,3.5095659717647534,101275.84648129586,104830.18912702013,30.03356511884949,1,HIGH_VOLATILITY
85,2,2009-07-03,2009-07-03,195.47500610351562,2009-07-17,217.0500030517578,0.555,1,10,11.0372151295992,0.1,10.926177914469603,104830.18912702013,116284.12209911332,44.24126379226267,1,HIGH_VOLATILITY
86,2,2009-08-07,2009-08-07,254.5500030517578,2009-08-21,254.625,0.575,1,10,0.029462560339053825,0.1,-0.07056690222128524,116284.12209911332,116202.06399637276,44.13947720067964,0,HIGH_VOLATILITY
87,2,2009-08-21,2009-08-21,254.625,2009-09-04,265.95001220703125,0.595,1,10,4.447722025343643,0.1,4.3432743033182994,116202.06399637276,121249.0383818527,50.39985007487411,1,HIGH_VOLATILITY
88,2,2009-10-07,2009-10-07,295.8500061035156,2009-10-23,319.8999938964844,0.57,1,10,8.12911519243094,0.1,8.020986077238508,121249.0383818527,130974.40686924668,62.46340110956734,1,HIGH_VOLATILITY
89,2,2009-10-28,2009-10-28,321.42498779296875,2009-11-12,327.67498779296875,0.575,1,10,1.9444661234694214,0.1,1.8425216573459517,130974.40686924668,133387.63868139294,65.45682446027192,1,HIGH_VOLATILITY
90,2,2009-12-08,2009-12-08,349.1499938964844,2009-12-22,362.0249938964844,0.59,1,10,3.6875269153855883,0.1,3.5838393884702024,133387.63868139294,138168.03741580702,71.38653130619115,1,BULLISH
91,2,2010-01-08,2010-01-08,349.8999938964844,2010-01-22,378.92498779296875,0.555,1,10,8.29522560811225,0.1,8.186930382504139,138168.03741580702,149479.7584499114,85.41782730921767,1,HIGH_VOLATILITY
92,2,2010-02-03,2010-02-03,376.4750061035156,2010-02-18,379.3999938964844,0.555,1,10,0.7769407651366091,0.1,0.6761638243714725,149479.7584499114,150490.48650130758,86.67155558141819,1,BULLISH
93,2,2010-03-05,2010-03-05,381.29998779296875,2010-03-19,410.45001220703125,0.56,1,10,7.64490567723014,0.1,7.5372607715529085,150490.48650130758,161833.34690528977,100.74147751190404,1,BULLISH
94,2,2010-04-12,2010-04-12,399.04998779296875,2010-04-27,393.6499938964844,0.575,0,10,-1.353212394855641,0.1,-1.4518591824607847,161833.34690528977,159483.7545979617,97.82699393763998,0,HIGH_VOLATILITY
95,2,2010-04-30,2010-04-30,382.70001220703125,2010-05-14,381.92498779296875,0.66,0,10,-0.20251486525775989,0.1,-0.30231235039250215,159483.7545979617,159001.61551094239,97.22893850255628,0,HIGH_VOLATILITY
96,2,2010-05-20,2010-05-20,365.0,2010-06-03,382.7250061035156,0.585,1,10,4.856166055757705,0.1,4.751309889701948,159001.61551094239,166556.27499349965,106.5998965629824,1,HIGH_VOLATILITY
97,2,2010-06-04,2010-06-04,382.67498779296875,2010-06-18,391.6000061035156,0.565,1,10,2.332271142679282,0.1,2.2299388715366026,166556.27499349965,170270.3781125631,111.20694796499475,1,HIGH_VOLATILITY
98,2,2010-07-29,2010-07-29,425.0,2010-08-12,426.7250061035156,0.565,1,10,0.4058837890625,0.1,0.3054779052734375,170270.3781125631,170790.51649692253,111.85213852543019,1,HIGH_VOLATILITY
99,2,2010-08-12,2010-08-12,426.7250061035156,2010-08-26,438.25,0.56,1,10,2.70080115569525,0.1,2.5981003545395542,170790.51649692253,175227.82551154902,117.35626968755903,1,BULLISH
100,2,2010-09-24,2010-09-24,465.9750061035156,2010-10-08,471.29998779296875,0.575,1,10,1.1427612253242159,0.1,1.041618464098892,175227.82551154902,177053.0308963163,119.62029272550123,1,HIGH_VOLATILITY
101,2,2010-11-22,2010-11-22,519.5499877929688,2010-12-06,550.8499755859375,0.67,1,10,6.024442022591526,0.1,5.918417580568935,177053.0308963163,187531.76860381404,132.61833874066426,1,HIGH_VOLATILITY
102,2,2011-01-11,2011-01-11,549.25,2011-01-25,594.2750244140625,0.6,1,10,8.19754654784934,0.1,8.08934900130149,187531.76860381404,202701.86785448968,151.4356480024263,1,HIGH_VOLATILITY
