config_id,asset,target_name,model,fold,feature_count,train_samples,validation_samples,base_positive_rate,roc_auc,pr_auc,mcc,f1,precision,recall,accuracy,ppr,mean_prob,median_prob,std_prob,q10_prob,q25_prob,q50_prob,q75_prob,q90_prob,buy_signals_count,sell_signals_count,mean_realized_ret_buy,mean_realized_ret_sell,return_spread,spread_minus_5bps,spread_minus_10bps,spread_minus_20bps,spread_minus_50bps,total_strat_return,buy_hold_return,win_rate,profit_factor,max_drawdown,sharpe_ratio,total_trades,filtered_trades_count,filtered_ppr,filtered_precision,filtered_return_spread,filtered_cum_return,training_time,prediction_time
C5,tcs_ns,TARGET_D,random_forest,4,21,2911,844,0.5874270010305737,0.5513724078011752,0.6076679208727167,0.05993942029625097,0.5024390243902439,0.6023391812865497,0.4309623430962343,0.5165876777251185,0.4052132701421801,0.473489336492891,0.46,0.15071098838170705,0.285,0.36,0.46,0.57,0.675,342,502,0.014060058283565735,0.005088803762364887,0.008971254521200848,0.008471254521200847,0.007971254521200847,0.006971254521200848,0.003971254521200848,59.24790432842892,613.3011982094608,0.5964912280701754,2.062852365620841,0.7064982524181034,2.8512669554919166,342,252,0.2985781990521327,0.6111111111111112,0.00879087665068058,24.422957834431255,0.66971500008367,0.06373760011047125
C5,tcs_ns,TARGET_D,xgboost,4,21,2911,844,0.5874270010305737,0.5854996913368543,0.6309085253744124,0.10263663686956093,0.5507584597432905,0.6226912928759895,0.49372384937238495,0.5438388625592417,0.4490521327014218,0.46339234709739685,0.470339298248291,0.21560509502887726,0.1661330059170723,0.28463444858789444,0.470339298248291,0.610885888338089,0.7572376310825352,379,465,0.014543360651581688,0.0039810445908326775,0.01056231606074901,0.01006231606074901,0.009562316060749011,0.00856231606074901,0.00556231606074901,112.9990894051164,613.3011982094608,0.6174142480211082,2.1532111598147674,0.7503675328054091,3.1732821222062517,379,308,0.36492890995260663,0.6233766233766234,0.010272944100515304,57.26291522308529,0.4129516000393778,0.005927199963480234
C5,tcs_ns,TARGET_D,logistic_regression,4,21,2911,844,0.5874270010305737,0.480519925920845,0.5993523584762379,-0.053097620960936974,0.5414480587618048,0.5431578947368421,0.5397489539748954,0.4822274881516588,0.5627962085308057,0.5065287968115388,0.5098090484441101,0.07631634089094108,0.4095218500178152,0.4629403595948638,0.5098090484441101,0.5462653068285186,0.5988891383123228,475,369,0.0068440117553025,0.011144210942867121,-0.004300199187564621,-0.004800199187564622,-0.005300199187564621,-0.006300199187564621,-0.009300199187564622,8.596879706811487,613.3011982094608,0.5347368421052632,1.3807497084663638,0.82411775849462,1.490633126740746,475,200,0.23696682464454977,0.565,-0.0006387277152660447,2.4578858524964597,0.03696289996150881,0.0023618999402970076
C5,tcs_ns,TARGET_D,random_forest,5,21,3755,844,0.5826897470039947,0.5994163998455845,0.6246645945340913,0.16279447544584405,0.6163934426229508,0.6280623608017817,0.6051502145922747,0.5841232227488151,0.5319905213270142,0.5051481042654029,0.505,0.11407393714699522,0.36150000000000004,0.425,0.505,0.58,0.645,449,395,0.011917201764803279,-0.000925966707132748,0.012843168471936027,0.012343168471936027,0.011843168471936026,0.010843168471936027,0.007843168471936026,77.44333630792826,51.56329329406319,0.621380846325167,1.804631017309762,0.6555599245907379,2.618040999657589,449,304,0.36018957345971564,0.6480263157894737,0.011309993037353,25.176425212660376,0.6900220999959856,0.06878020009025931
C5,tcs_ns,TARGET_D,xgboost,5,21,3755,844,0.5826897470039947,0.5880906964597952,0.6344192845828553,0.1364649996955491,0.5821917808219178,0.6219512195121951,0.5472103004291845,0.566350710900474,0.48578199052132703,0.4778175950050354,0.4854430556297302,0.22316931188106537,0.14131426066160202,0.31151966750621796,0.48544304072856903,0.662389874458313,0.7572497427463531,410,434,0.012821994386062777,-0.0006266151041624465,0.013448609490225224,0.012948609490225223,0.012448609490225224,0.011448609490225223,0.008448609490225224,75.60094924668495,51.56329329406319,0.6121951219512195,1.8486113303160692,0.7478443098483105,2.6572242958015213,410,354,0.4194312796208531,0.672316384180791,0.019152925027269313,184.12346842932928,0.36533539998345077,0.005175799946300685
C5,tcs_ns,TARGET_D,logistic_regression,5,21,3755,844,0.5826897470039947,0.5837364034788928,0.6330577563923219,0.08683718759172827,0.6202020202020202,0.5858778625954199,0.6587982832618026,0.5545023696682464,0.6208530805687204,0.5160501084721794,0.5178443274826389,0.07222511004083687,0.42300589688352863,0.47519890249885427,0.5178443274826389,0.5598105948344221,0.5990503850028686,524,320,0.008798890207491247,0.0011701508573557068,0.007628739350135539,0.007128739350135539,0.006628739350135539,0.005628739350135539,0.002628739350135539,30.860720832896085,51.56329329406319,0.5782442748091603,1.5103479611250459,0.8272060724253597,2.0120580717639744,524,257,0.30450236966824645,0.6536964980544747,0.013260313384792676,26.938170715480837,0.03603810002095997,0.001693699974566698
C7,tcs_ns,TARGET_D,random_forest,1,20,520,843,0.6346153846153846,0.5258600270697045,0.5442650372054569,0.007837336842650238,0.6793953858392999,0.5226438188494492,0.9704545454545455,0.5219454329774614,0.9691577698695136,0.680379596678529,0.685,0.09596564559938049,0.555,0.61,0.685,0.745,0.8040000000000004,817,26,0.000912381379306403,-0.018472991570831966,0.01938537295013837,0.018885372950138368,0.018385372950138368,0.017385372950138367,0.014385372950138368,-0.8633862210522862,-0.8209240001219655,0.5104039167686658,0.9965877986125528,0.9999528461723345,-0.020259178595545917,817,769,0.9122182680901542,0.5227568270481144,0.010083090765014204,-0.8067077755958476,0.45176210009958595,0.15518349991180003
C7,tcs_ns,TARGET_D,xgboost,1,20,520,843,0.6346153846153846,0.4936498984886082,0.5232523926444052,-0.026807416949181588,0.6526845637583892,0.5172872340425532,0.884090909090909,0.5088967971530249,0.8920521945432978,0.7398324608802795,0.7859983444213867,0.17588455975055695,0.484460186958313,0.6242266595363617,0.7859983444213867,0.8770466446876526,0.9309806585311889,752,91,-0.00019071008855645586,0.0044893603587489485,-0.004680070447305404,-0.005180070447305405,-0.005680070447305404,-0.006680070447305404,-0.009680070447305403,-0.9367020545562729,-0.8209240001219655,0.5053191489361702,0.9555067715430576,0.9999324605897377,-0.25785717008209247,752,716,0.8493475682087782,0.5083798882681564,-0.008168629482511793,-0.9580275139260129,0.3914438000647351,0.00612029992043972
C7,tcs_ns,TARGET_D,logistic_regression,1,20,520,843,0.6346153846153846,0.503654410106023,0.5020342135666204,0.052376218969227284,0.6806790622473726,0.5282308657465495,0.9568181818181818,0.531435349940688,0.9454329774614472,0.7278875834152435,0.7505307816277179,0.12444065979779734,0.5498057165363817,0.6577849837156144,0.7505307816277179,0.8219112056470468,0.8672918996174527,797,46,0.0007279855670811323,-0.00684971067199918,0.007577696239080313,0.0070776962390803125,0.006577696239080313,0.005577696239080313,0.002577696239080313,-0.8746932085020966,-0.8209240001219655,0.5156838143036386,0.9893378665379997,0.9999223429902498,-0.06244279456048177,797,758,0.8991696322657177,0.5316622691292876,0.005078461537230535,-0.8536495266891744,0.018684200011193752,0.0018777999794110656
C7,tcs_ns,TARGET_D,random_forest,2,20,1363,842,0.5649303008070433,0.5876641129637976,0.7017222962456822,0.1347176062970796,0.4880503144654088,0.7185185185185186,0.36952380952380953,0.5166270783847982,0.32066508313539194,0.4541805225653206,0.455,0.08720920161475362,0.3405000000000001,0.39,0.455,0.515,0.5694999999999998,270,572,0.030867954517108505,0.012442310854110612,0.01842564366299789,0.01792564366299789,0.01742564366299789,0.01642564366299789,0.01342564366299789,1962.399664091904,1134747.0100849564,0.7148148148148148,4.532118263713293,0.2968962830713316,4.536805368607736,270,125,0.14845605700712589,0.784,0.02533440796194439,97.48500707062621,0.43593669997062534,0.07696850004140288
