config,model,fold,roc_auc,mcc,precision,unrestricted_return_pct,unrestricted_trades,unrestricted_win_rate_pct,unrestricted_expectancy_pct,unrestricted_sharpe,unrestricted_max_dd_pct,regime_filtered_return_pct,regime_filtered_trades,regime_filtered_win_rate_pct,regime_filtered_expectancy_pct,regime_filtered_sharpe,regime_filtered_max_dd_pct
C58_TREND,random_forest,2,0.581481147664113,0.12407967671294613,0.79,212.8366840382759,36,66.66666666666666,3.3515731299376865,1.6317984935845269,17.184271573397126,160.4404655365288,25,72.0,4.040995558714342,1.6421936680898392,10.161215441247618
C58_TREND,random_forest,3,0.5893186161261801,0.1106264279764361,0.6619718309859155,59.406523243802944,47,57.446808510638306,1.0684344711479863,0.9456713604026572,12.696062725532808,11.910372519573635,16,37.5,0.8203448417076616,0.40984479755662667,13.508023245854888
C58_TREND,random_forest,4,0.5968744998513844,0.15395408268052724,0.6666666666666666,84.09277307381531,44,63.63636363636363,1.4967712920374365,1.1992284152156325,21.472403836089022,-7.073664418713379,16,43.75,-0.40343537782243893,-0.2201595079605334,24.222225696096576
C58_TREND,random_forest,5,0.5945313032222904,0.13908444214464508,0.6287625418060201,32.494614609903365,53,56.60377358490566,0.6391055266098193,0.49025797144711286,23.370464412349083,21.29804845723108,21,61.904761904761905,1.000260511380294,0.5512583330790932,16.63820785918598
C58_TREND,xgboost,1,0.5055267313331829,-0.028808704603865355,0.5191424196018377,-15.245127542988993,75,54.666666666666664,0.0561222583474259,0.08212401256756224,65.52058723291849,4.474525235260109,28,64.28571428571429,0.3988504467430498,0.16417270609261733,40.7462968519216
C58_TREND,xgboost,2,0.5696079315006759,0.10208615974577832,0.7534246575342466,218.52553554466948,45,68.88888888888889,2.7320185966784973,1.5457495951478952,20.057608921324004,173.4221634241052,32,78.125,3.298688178151769,1.5882506713889204,16.05161891480251
C58_TREND,xgboost,3,0.5630187387695731,0.11201996011968834,0.6822429906542056,58.674490501449206,39,58.97435897435898,1.261645895028799,1.0001172414064239,11.73541662681198,8.671702084068967,10,30.0,0.9960985155322514,0.34150488233542564,12.502832120117677
C58_TREND,xgboost,4,0.6001554747696458,0.11923542995632988,0.6468646864686468,87.54785247935524,52,67.3076923076923,1.3123545550997113,1.1391330364378576,22.749569201480565,-9.310568523032023,23,47.82608695652174,-0.3537897405824864,-0.20942276122925876,27.086043384815383
C58_TREND,xgboost,5,0.6111451733769331,0.2134528683963244,0.6730158730158731,43.29890515457414,47,61.702127659574465,0.8850973007487405,0.5961649760271454,23.074111759775874,16.556685283387417,15,60.0,1.1935866199329652,0.4731627359334013,20.97991244231458
C58_TREND,logistic_regression,1,0.5729359350327092,0.0656045718817734,0.5767634854771784,5.407944027657111,39,56.41025641025641,0.5308003711207342,0.21384445473662916,43.37574933944817,31.90103889143167,9,77.77777777777779,3.2720237797446607,0.8821920890745895,10.219806293829077
C58_TREND,logistic_regression,2,0.5938350608382154,0.12746566156677014,0.8166666666666667,49.00436614394074,12,83.33333333333334,3.4719963185476286,0.8374274987846739,16.05161891480251,60.09685399875397,11,90.9090909090909,4.417506053087909,0.9845133568284644,16.05161891480251
C58_TREND,logistic_regression,3,0.4662331365334702,-0.07278832717607506,0.5,-6.330615305240368,60,53.333333333333336,-0.024823177896291133,0.005298300349182608,34.285552410919806,5.484429084327362,31,51.61290322580645,0.28800844026288586,0.18165301203850315,26.18902397395856
C58_TREND,logistic_regression,4,0.45594690993895326,-0.10568017393839471,0.5082644628099173,-3.78385991399677,54,50.0,0.03620356134422813,0.029435173546129286,30.546244994684436,-35.06244796242953,34,35.294117647058826,-1.1848665618400906,-0.8214185744326282,37.46028587646879
