asset,config,model,fold,feature,importance
reliance_ns,ALL_32,logistic_regression,2,Close,0.16617493599129232
reliance_ns,ALL_32,logistic_regression,2,Volume,0.13145291424169514
reliance_ns,ALL_32,logistic_regression,2,Open,0.12248232353869165
reliance_ns,ALL_32,logistic_regression,2,RSI_14,0.11002792502666152
reliance_ns,ALL_32,logistic_regression,2,ROLLING_STD_20,0.10657370916837694
reliance_ns,ALL_32,logistic_regression,2,HIST_VOL_20,0.10232000201933235
reliance_ns,ALL_32,logistic_regression,2,VOLUME_SMA_20,0.097352083532783
reliance_ns,ALL_32,logistic_regression,2,TRUE_RANGE,0.09483789784264574
reliance_ns,ALL_32,logistic_regression,2,SMA_50,0.08812373033852133
reliance_ns,ALL_32,logistic_regression,2,GAP_PCT,0.07530746111481798
reliance_ns,ALL_32,logistic_regression,2,VOLUME_CHANGE_PCT,0.06526393452725922
reliance_ns,ALL_32,logistic_regression,2,VOLUME_EMA_20,0.052480965644548905
reliance_ns,ALL_32,logistic_regression,2,MOMENTUM_20,0.05092427980891491
reliance_ns,ALL_32,logistic_regression,2,VOLUME_RATIO,0.048121228017544725
reliance_ns,ALL_32,logistic_regression,2,BODY_SIZE,0.0454288367486269
reliance_ns,ALL_32,logistic_regression,2,Adj Close,0.04096461095587435
reliance_ns,ALL_32,logistic_regression,2,UPPER_WICK,0.03223839158664236
reliance_ns,ALL_32,logistic_regression,2,OPEN_CLOSE_PCT,0.026215854598398317
reliance_ns,ALL_32,logistic_regression,2,PRICE_CHANGE_PCT,0.02592099821630761
reliance_ns,ALL_32,logistic_regression,2,DAILY_RETURN,0.025920998216275082
reliance_ns,ALL_32,logistic_regression,2,High,0.022524774930354013
reliance_ns,ALL_32,logistic_regression,2,Low,0.021070119540358513
reliance_ns,ALL_32,logistic_regression,2,MOMENTUM_10,0.017495359857909263
reliance_ns,ALL_32,logistic_regression,2,LOWER_WICK,0.013102142148192728
reliance_ns,ALL_32,logistic_regression,2,DAILY_RANGE_PCT,0.009273356528569433
reliance_ns,ALL_32,logistic_regression,2,HIGH_LOW_PCT,0.009273356528569433
reliance_ns,ALL_32,logistic_regression,2,ATR_14,0.006520844246810173
reliance_ns,ALL_32,random_forest,2,GAP_PCT,0.04083339402930946
reliance_ns,ALL_32,random_forest,2,VOLUME_CHANGE_PCT,0.03759795589494044
reliance_ns,ALL_32,random_forest,2,VOLUME_RATIO,0.03758777112641465
reliance_ns,ALL_32,random_forest,2,HIST_VOL_20,0.03663959363487168
reliance_ns,ALL_32,random_forest,2,RSI_14,0.036622320433242844
reliance_ns,ALL_32,random_forest,2,ROC_12,0.03585372956496683
reliance_ns,ALL_32,random_forest,2,ROLLING_STD_20,0.03549316402888513
reliance_ns,ALL_32,random_forest,2,MOMENTUM_20,0.03546985512099419
reliance_ns,ALL_32,random_forest,2,BODY_SIZE,0.03462197697143345
reliance_ns,ALL_32,random_forest,2,VOLUME_EMA_20,0.033711084325039595
reliance_ns,ALL_32,random_forest,2,VOLUME_SMA_20,0.03317988408969736
reliance_ns,ALL_32,random_forest,2,Volume,0.03305658902564388
reliance_ns,ALL_32,random_forest,2,MOMENTUM_10,0.03286602107231735
reliance_ns,ALL_32,random_forest,2,OPEN_CLOSE_PCT,0.03254310039484086
reliance_ns,ALL_32,random_forest,2,HIGH_LOW_PCT,0.032199436677237146
reliance_ns,ALL_32,random_forest,2,ATR_14,0.03218493576512667
reliance_ns,ALL_32,random_forest,2,PRICE_CHANGE_PCT,0.03209974281393134
reliance_ns,ALL_32,random_forest,2,UPPER_WICK,0.031812044194920654
reliance_ns,ALL_32,random_forest,2,LOWER_WICK,0.031658261932918146
reliance_ns,ALL_32,random_forest,2,DAILY_RETURN,0.03136916956856056
