asset,model,config_id,total_folds,mean_strat_cum_return_pct,mean_buy_hold_return_pct,mean_win_rate_pct,mean_profit_factor,mean_max_drawdown_pct,mean_sharpe,mean_filtered_cum_return_pct,mean_filtered_precision_pct
icicibank_ns,random_forest,C7,5,3307.50201323174,289366.219793429,57.310264439697946,1.7545193340586003,85.81188135911727,1.7068393826336759,2161.8925873153994,60.175214485172404
icicibank_ns,random_forest,C8,5,1236.8957531597928,289366.219793429,53.39868986982354,1.3763429066427784,91.04826074321586,1.0891554944480006,465.0408177354535,52.16388857336287
icicibank_ns,xgboost,C0,5,6088.828920477439,289366.219793429,56.76068863814579,1.6242997447085898,90.85888466692319,1.6767960007516216,1719.79755581015,57.97822631758568
icicibank_ns,xgboost,C5,5,13052.644774074812,289366.219793429,55.561073415102854,1.449606370777469,95.54816773793536,1.3873112844054776,21654.546379051953,57.78437432885074
icicibank_ns,xgboost,C57,5,1876.4248418601408,289366.219793429,54.88344276298768,1.4001898579874845,95.83057026415234,1.1654741909838762,2709.0105539045435,56.13512426004201
icicibank_ns,xgboost,C7,5,4119.388413652595,289366.219793429,56.02759841197141,1.6322170196355241,89.40125246730268,1.6839776618518687,1709.5823819207326,56.74858315843618
icicibank_ns,xgboost,C8,5,4987.784845980854,289366.219793429,53.67438068259398,1.3649344128996639,96.75511982688899,1.1439326118613053,6722.405634749279,55.78169334002222
infy_ns,logistic_regression,C0,5,4345.808685712091,34265008.537178285,61.03276396909052,2.3898911106116154,81.1853082679485,1.675261523540558,1185.2460531133695,65.26308215818585
infy_ns,logistic_regression,C5,5,538.2192311312521,34265008.537178285,63.8146921015748,20.78438456731092,77.06422765750139,1.0025579055439429,294.0345741134563,64.2859490416854
infy_ns,logistic_regression,C57,5,487.8289571409305,34265008.537178285,63.77502331096561,20.772760886513744,77.0231540191204,0.9540633773811027,307.0338149990163,64.12998566946635
infy_ns,logistic_regression,C7,5,6736.669196635532,34265008.537178285,61.596034363027364,3.0822906117180255,79.55235111376349,1.9859041023580306,915.3005173024214,63.97334163511784
infy_ns,logistic_regression,C8,5,467.019557676276,34265008.537178285,63.85537783206934,20.786470415754085,75.44361501919414,0.9227432876592339,212.92190961837224,63.756170263968734
infy_ns,random_forest,C0,5,3174.593043925645,34265008.537178285,58.1676133699488,1.546767130927983,85.10644683364502,1.3685919666959379,1006.2062615789383,60.700109686989464
infy_ns,random_forest,C5,5,1802.1574756846644,34265008.537178285,57.705553492128644,1.6931084837805486,79.02320063971011,1.2990682203693922,410.7905633013852,62.689904964573905
infy_ns,random_forest,C57,5,1127.0708575162512,34265008.537178285,61.91223837388898,5.08628400213475,76.01663536773813,1.3433576374663803,289.99088677784306,66.28762985827608
infy_ns,random_forest,C7,5,2775.1075826811084,34265008.537178285,60.718415734220144,1.9363613609795816,79.7112281707443,1.5389664702419696,3220.5360511504446,63.28398869089003
infy_ns,random_forest,C8,5,5587.854739412892,34265008.537178285,62.35468544502114,2.6574108244051646,79.36668751691744,1.7623489657633242,687.2486827698106,63.08118969064833
infy_ns,xgboost,C0,5,3951.8381087403936,34265008.537178285,59.94202352763399,1.9437578649256018,79.27481033724129,1.536308830813534,3499.419429214654,61.81253700885272
infy_ns,xgboost,C5,5,3954.9363907757725,34265008.537178285,58.64095877695424,1.8309175576979364,81.10940902546082,1.2835969833441474,6799.577143777919,60.09460312130723
infy_ns,xgboost,C57,5,828.2412195886433,34265008.537178285,59.509600411731526,2.166639530353482,82.65016693349733,1.143894961803938,1668.9133794929096,60.72891908081498
infy_ns,xgboost,C7,5,5705.701944967912,34265008.537178285,60.37892952749895,1.9271361066919475,77.12124803541826,1.4440628441480117,2767.6372424874376,63.34249480310594
infy_ns,xgboost,C8,5,21758.02405980261,34265008.537178285,59.985591716065144,2.0428142915661796,83.19827206299011,1.608393859081573,7014.330580787035,61.624255870158585
reliance_ns,logistic_regression,C0,5,124505.18577615311,4633762559.572087,53.15119784712377,1.2650903511866722,92.97727144753898,0.9964785499542043,251.34063147935075,56.46982496194825
reliance_ns,logistic_regression,C5,5,6130.461930973765,4633762559.572087,54.49720554586034,1.460783813561686,80.78664467508064,1.1701706547935138,705.3624300398833,56.70457614398926
reliance_ns,logistic_regression,C57,5,4339.089891337552,4633762559.572087,53.49067570604373,1.4026924195274553,80.9505916567761,1.092640901100911,620.5230764313951,55.357555782725996
reliance_ns,logistic_regression,C7,5,39950.223061291435,4633762559.572087,56.07594946703867,1.741558381536032,77.89716630570132,1.3712183297729512,619.9806004472401,58.29903160878852
reliance_ns,logistic_regression,C8,5,9283.634580501066,4633762559.572087,58.05878510929292,1.6841313143737673,76.69648717974938,1.1801296469103524,422.92233297612427,57.90334955215914
reliance_ns,random_forest,C0,5,23762.484486003723,4633762559.572087,57.91641923173133,1.6956608217538487,79.04966777610345,1.753709159710229,2866.4306370062754,60.23128270197983
reliance_ns,random_forest,C5,5,1625417.6914439038,4633762559.572087,57.77150636550963,2.0386103934091877,79.11713105250399,1.7578420229355953,184784.21944488102,58.68821486187085
reliance_ns,random_forest,C57,5,6323125.549692348,4633762559.572087,57.914775920551676,2.014849492817216,81.3649859780294,1.772634818474089,919555.9967922649,60.4244515818668
reliance_ns,random_forest,C7,5,33311.57296152481,4633762559.572087,57.88573247203883,1.7511912596307728,83.09634072071695,1.9071993051509657,4911.360510567327,59.58806314199566
